source_table,event_index,visualization_label,physical_element,source_storage_ip,previous_global_frame,current_global_frame,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_phase_after_u1,current_phase_after_u1,phase_drop,prior_category,diagnostic_category
sdv15_unresolved_event_mapping,68,84145,16441,4,191,192,     2,   130,     2,   132,0.9740753935236336,0.9910435109100189,-0.016968117386385262,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,69,84146,16442,4,191,192,     2,   130,     2,   132,0.9539201790173879,0.9815570293988346,-0.027636850381446698,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,70,84147,16443,3,192,193,     2,   132,     2,   133,0.9526675624746318,0.9688153434679433,-0.01614778099331149,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,71,84139,16435,4,186,187,     2,   123,     2,   125,0.9858928265289895,0.9949877552933452,-0.009094928764355692,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,72,84677,16973,1,191,192,     2,   130,     2,   132,0.9988551699911208,0.9999112474766682,-0.0010560774855473687,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,73,84148,16444,4,192,193,     2,   132,     2,   133,0.9419183533629665,0.9603679787746688,-0.018449625411702364,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,74,84149,16445,3,193,194,     2,   133,     2,   135,0.9178972568413966,0.9599599873142051,-0.04206273047280851,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,75,84130,16426,3,199,200,     2,   142,     2,   144,0.9771059635075988,0.9771265252012955,-2.05616936966857e-05,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,76,84135,16431,3,186,187,     2,   123,     2,   125,0.9977321011016728,0.9981370122926853,-0.0004049111910124914,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,77,84701,16997,1,196,197,     2,   138,     2,   139,0.8678262548484608,0.8968640535555481,-0.029037798707087337,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,78,84147,16443,4,192,193,     2,   132,     2,   133,0.9653604174054443,0.9782566304950131,-0.012896213089568787,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,79,84677,16973,1,195,196,     2,   136,     2,   138,1.0016016388212496,1.0023438412716916,-0.0007422024504419866,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,80,84141,16437,3,188,189,     2,   126,     2,   128,0.9810003955583996,0.9935494879342964,-0.012549092375896853,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,81,84144,16440,3,191,192,     2,   130,     2,   132,0.9804009538143688,0.9935260450083134,-0.013125091193944671,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,82,84701,16997,2,196,197,     2,   138,     2,   139,0.8454960613367661,0.8762449481208858,-0.03074888678411969,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,83,84139,16435,4,188,189,     2,   126,     2,   128,0.9967774092311712,0.9980638328952487,-0.0012864236640774962,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,84,84151,16447,3,195,196,     2,   136,     2,   138,0.9293299923782355,0.9678162116081963,-0.03848621922996076,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,85,84132,16428,3,186,187,     2,   123,     2,   125,0.9985225895902636,0.9988680819769435,-0.0003454923866799131,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,86,84149,16445,4,193,194,     2,   133,     2,   135,0.9353506406256619,0.9711918818443896,-0.03584124121872778,insufficient_output_evidence,sdv15_completed_increment_monotone
