index,baseline_u2_mm,baseline_rf2_kN,diagnostic_u2_mm,diagnostic_rf2_kN,rf2_difference
140,0.00566999986768,0.723061800003,0.005669999867677689,0.7230618000030518,5.1736392947532295e-14
141,0.00567999994382,0.724156916142,0.005679999943822622,0.72415691614151,-4.899414207670816e-13
142,0.00570000009611,0.726339459419,0.00570000009611249,0.7263394594192505,2.504663143554353e-13
143,0.00571999978274,0.728511095047,0.00571999978274107,0.7285110950469971,-2.886579864025407e-15
144,0.00573999993503,0.730670809746,0.005739999935030937,0.7306708097457886,-2.113864638886298e-13
145,0.00575000001118,0.731745660305,0.005750000011175871,0.7317456603050232,2.3203661214665772e-14
146,0.00577000016347,0.733885169029,0.005770000163465738,0.7338851690292358,2.3581137043038325e-13
147,0.00578999985009,0.736009180546,0.005789999850094318,0.7360091805458069,-1.9306778398231472e-13
148,0.00579999992624,0.737065017223,0.005799999926239252,0.7370650172233582,3.581579477440755e-13
149,0.00582000007853,0.739162147045,0.0058200000785291195,0.7391621470451355,1.354472090042691e-13
150,0.00584000023082,0.741238176823,0.005840000230818987,0.7412381768226624,-3.376188217885101e-13
151,0.0058499998413,0.742266893387,0.005849999841302633,0.7422668933868408,-1.5920598173124745e-13
152,0.00586999999359,0.744304597378,0.005869999993592501,0.7443045973777771,-2.2293278334473143e-13
153,0.00589000014588,0.746311128139,0.005890000145882368,0.7463111281394958,4.958256027975949e-13
154,0.00590999983251,0.748280405998,0.005909999832510948,0.74828040599823,2.299271883998699e-13
155,0.00591999990866,0.749249815941,0.005919999908655882,0.7492498159408569,-1.4310774787418268e-13
156,0.00594000006095,0.751147806644,0.005940000060945749,0.7511478066444397,4.39648317751562e-13
157,0.00596000021324,0.752983629704,0.005960000213235617,0.7529836297035217,-4.782840790085174e-13
158,0.00596999982372,0.753870069981,0.005969999823719263,0.7538700699806213,-3.786970736996409e-13
159,0.00598999997601,0.755577802658,0.0059899999760091305,0.755577802658081,8.104628079763643e-14
160,0.0060100001283,0.757168352604,0.006010000128298998,0.7571683526039124,-8.759659664292485e-14
161,0.00602000020444,0.757917582989,0.006020000204443932,0.757917582988739,-2.610134330893743e-13
162,0.00603999989107,0.759261846542,0.006039999891072512,0.7592618465423584,3.5837999234900053e-13
163,0.00606000004336,0.760371565819,0.006060000043362379,0.7603715658187866,-2.1338486533295509e-13
164,0.00608000019565,0.76117926836,0.0060800001956522465,0.7611792683601379,1.3788969965844444e-13
165,0.00608999980614,0.76143425703,0.006089999806135893,0.7614342570304871,4.870548409030562e-13
166,0.00610999995843,0.761702001095,0.00610999995842576,0.7617020010948181,-1.8185453143360064e-13
167,0.00613000011072,0.761678993702,0.006130000110715628,0.7616789937019348,-6.517009154549669e-14
168,0.00614000018686,0.761636853218,0.006140000186860561,0.7616368532180786,7.860379014346108e-14
169,0.00615999987349,0.761512339115,0.0061599998734891415,0.7615123391151428,1.4277468096679513e-13
170,0.00618000002578,0.761430382729,0.006180000025779009,0.7614303827285767,-4.233280392895722e-13
171,0.00619000010192,0.76138240099,0.0061900001019239426,0.7613824009895325,-4.675149156696534e-13
172,0.00620999978855,0.761335134506,0.006209999788552523,0.7613351345062256,2.255973186038318e-13
173,0.00622999994084,0.761289715767,0.00622999994084239,0.7612897157669067,-9.325873406851315e-14
174,0.00625000009313,0.761236429214,0.0062500000931322575,0.7612364292144775,4.775069228912798e-13
175,0.00626000016928,0.761222302914,0.006260000169277191,0.7612223029136658,-3.341771304121721e-13
176,0.00627999985591,0.761144578457,0.006279999855905771,0.7611445784568787,-1.213473765915296e-13
177,0.0063000000082,0.761043787003,0.006300000008195639,0.7610437870025635,-4.3653969328261155e-13
178,0.00631000008434,0.760966181755,0.006310000084340572,0.7609661817550659,6.59472476627343e-14
179,0.00632999977097,0.760821759701,0.0063299997709691525,0.7608217597007751,-2.248201624865942e-13
180,0.00634999992326,0.760642886162,0.00634999992325902,0.7606428861618042,-1.9584334154387761e-13
181,0.0063599999994,0.760555803776,0.0063599999994039536,0.7605558037757874,-2.1260770921571748e-13
182,0.00638000015169,0.760318279266,0.006380000151693821,0.7603182792663574,3.573807916268379e-13
183,0.00639999983832,0.760034561157,0.006399999838322401,0.7600345611572266,2.2659651932599445e-13
184,0.00641999999061,0.759700238705,0.0064199999906122684,0.7597002387046814,-3.1863400806741993e-13
185,0.00643000006676,0.759496748447,0.006430000066757202,0.7594967484474182,4.1822101337629647e-13
186,0.00645000021905,0.75907933712,0.0064500002190470695,0.7590793371200562,5.617728504603292e-14
187,0.00646999990568,0.758605659008,0.00646999990567565,0.7586056590080261,2.609024107869118e-14
188,0.00647999998182,0.758364319801,0.006479999981820583,0.7583643198013306,3.305133944309091e-13
189,0.00650000013411,0.757807254791,0.006500000134110451,0.7578072547912598,2.5979218776228663e-13
190,0.00651999982074,0.75719499588,0.006519999820739031,0.757194995880127,1.268984917146554e-13
191,0.00652999989688,0.756852388382,0.0065299998968839645,0.756852388381958,-4.196643033083092e-14
192,0.00655000004917,0.756159067154,0.006550000049173832,0.7561590671539307,-6.938893903907228e-14
193,0.00657000020146,0.755411028862,0.006570000201463699,0.7554110288619995,-4.440892098500626e-16
194,0.00658999988809,0.754606902599,0.0065899998880922794,0.7546069025993347,3.347322419244847e-13
195,0.00659999996424,0.75419896841,0.006599999964237213,0.7541989684104919,4.919398222114069e-13
196,0.00662000011653,0.753304958344,0.0066200001165270805,0.7533049583435059,-4.941602682606572e-13
197,0.00663999980316,0.752348840237,0.006639999803155661,0.7523488402366638,-3.361755318564974e-13
198,0.0066499998793,0.751831591129,0.006649999879300594,0.751831591129303,3.029798634202052e-13
199,0.00667000003159,0.750783264637,0.006670000031590462,0.7507832646369934,-6.5503158452884236e-15
