node,x,y,active_lower_bound,d_F1,d_lower_bound,bound_error,residual_Kd_minus_f,multiplier_if_active
3769,-0.475,0.07499999999999996,False,1.7564436305164872e-05,1.3292369528475996e-05,4.2720667766888766e-06,1.550963648536927e-25,
3770,-0.4625,0.07499999999999996,False,2.2379438325028323e-05,1.6413828731572696e-05,5.965609593455627e-06,-7.237830359838992e-25,
3771,-0.45,0.07499999999999996,False,2.8942175440568447e-05,2.7741750228388423e-05,1.2004252121800233e-06,0.0,
3772,-0.4375,0.07499999999999996,False,3.499853259764249e-05,2.7448878918919045e-05,7.549653678723443e-06,1.5509636485369269e-24,
3773,-0.425,0.07499999999999996,False,4.2910367871839105e-05,3.409673734111394e-05,8.813630530725165e-06,-1.4475660719677984e-24,
3774,-0.4125,0.07499999999999996,False,5.2498235788251674e-05,5.13003695574228e-05,1.1978662308288765e-06,-1.2407709188295415e-24,
3775,-0.4,0.07499999999999996,False,5.994086512947839e-05,5.068456979961891e-05,9.25629532985948e-06,1.8611563782443123e-24,
3776,-0.3875,0.07499999999999996,False,6.917771966366174e-05,5.9659913312357836e-05,9.517806351303908e-06,1.4475660719677984e-24,
3777,-0.375,0.07499999999999996,False,8.022070021104303e-05,7.952203666338381e-05,6.986635476592142e-07,1.2407709188295415e-24,
3778,-0.3625,0.07499999999999996,False,8.802918344638362e-05,7.878383537539196e-05,9.245348070991663e-06,4.549493369041652e-24,
3779,-0.35,0.07499999999999996,False,9.715261765128722e-05,8.891204858703463e-05,8.240569064252591e-06,2.895132143935597e-24,
3780,-0.3375,0.07499999999999996,False,0.00010706201894253787,0.00010284359886950458,4.21842007303329e-06,-1.2407709188295415e-24,
3781,-0.325,0.07499999999999996,False,0.00011447580302614157,0.00010819572597836006,6.280077047781513e-06,-1.2407709188295415e-24,
3782,-0.3125,0.07499999999999996,False,0.0001214761006440412,0.00011786896461270309,3.6071360313381115e-06,5.790264287871194e-24,
3783,-0.3,0.07499999999999996,True,0.00013347231236274872,0.00013347231236274872,0.0,7.955925905203693e-10,7.955925905203693e-10
3784,-0.2875,0.07499999999999996,True,0.0001335821164792926,0.0001335821164792926,0.0,4.294795560672299e-10,4.294795560672299e-10
3785,-0.275,0.07499999999999996,False,0.0001316209159312835,0.00012499970965497908,6.621206276304417e-06,-5.756608666211157e-17,
3786,-0.2625,0.07499999999999996,False,0.00013107811555488152,9.66067602074467e-05,3.4471355347434816e-05,-2.148395495290132e-16,
3787,-0.25,0.07499999999999996,False,0.00013074007266653103,0.000116909465484629,1.3830607181902028e-05,2.0679515313825692e-24,
3788,-0.2375,0.07499999999999996,False,0.0001269545677893544,0.00011177771399436485,1.5176853794989561e-05,-5.529305412164026e-14,
3789,-0.22499999999999998,0.07499999999999996,False,0.00012169151108937294,0.00010161834092813882,2.0073170161234125e-05,-2.063564872681963e-13,
3790,-0.21250000000000002,0.07499999999999996,False,0.00011905976863774281,0.0001037473361582892,1.5312432479453608e-05,4.1359030627651384e-25,
3791,-0.2,0.07499999999999996,False,0.00011716778664374591,0.00010584703113222836,1.1320755511517544e-05,-4.400542950266246e-14,
3792,-0.1875,0.07499999999999996,False,0.00011966714487422254,0.00011437385260151917,5.2932922727033725e-06,-1.6423049869039082e-13,
3793,-0.175,0.07499999999999996,False,0.00013738115509163122,0.00011557564335074864,2.180551174088258e-05,6.2038545941477076e-24,
3794,-0.16249999999999998,0.07499999999999996,False,0.00016796599208329576,0.00016458834359019554,3.377648493100221e-06,2.274746684520826e-24,
3795,-0.15000000000000002,0.07499999999999996,False,0.0002303545167841107,0.00020813617767811293,2.2218339105997768e-05,-4.1359030627651384e-25,
3796,-0.1375,0.07499999999999996,False,0.00035935904464468385,0.00028890238921539213,7.045665542929172e-05,4.549493369041652e-24,
3797,-0.125,0.07499999999999996,True,0.000574347903439792,0.000574347903439792,0.0,1.1238945260229053e-09,1.1238945260229053e-09
3798,-0.11249999999999999,0.07499999999999996,False,0.0009254633959621338,0.0006661150877408505,0.0002593483082212833,1.1580528575742387e-23,
3799,-0.09999999999999998,0.07499999999999996,True,0.0015066484178877671,0.0015066484178877671,0.0,4.568576553984717e-09,4.568576553984717e-09
3800,-0.08750000000000002,0.07499999999999996,False,0.0022567401557512133,0.0019679462958889175,0.0002887938598622958,5.955700410381799e-23,
3801,-0.07500000000000001,0.07499999999999996,False,0.003577831348726566,0.0030039206307557673,0.0005739107179707987,9.26442286059391e-23,
3802,-0.0625,0.07499999999999996,True,0.005677240264691347,0.005677240264691346,8.673617379884035e-19,4.1685273922919294e-08,4.1685273922919294e-08
3803,-0.04999999999999999,0.07499999999999996,False,0.007493208992204398,0.006939204547800048,0.0005540044444043496,-5.293955920339377e-23,
3804,-0.03749999999999998,0.07499999999999996,False,0.01005460908791972,0.009625815347285557,0.00042879374063416187,-1.5881867761018131e-22,
