element,umat_element,integration_point,x,y,SDV15_d,SDV16_H,S,E,LE
23,7883,2,-0.4016295075416565,-0.027073155460129783,1.952733327925671e-05,2.1083344563521678e-06,,,
23,7883,3,-0.4016295075416565,-0.027073155460129783,5.139787754160352e-05,2.1760486106359167e-06,,,
23,7883,4,-0.4016295075416565,-0.027073155460129783,2.9821458156220615e-05,1.8696932784223463e-06,,,
24,7884,1,-0.40561559051275253,-0.07630891725420952,3.810915586655028e-05,4.8244883146253414e-06,,,
24,7884,2,-0.40561559051275253,-0.07630891725420952,5.045744183007628e-05,4.352440555521753e-06,,,
24,7884,3,-0.40561559051275253,-0.07630891725420952,6.0627895436482504e-05,6.285787094384432e-06,,,
24,7884,4,-0.40561559051275253,-0.07630891725420952,6.974314601393417e-05,5.906857950321864e-06,,,
25,7885,1,-0.3404160588979721,-0.12574359774589539,9.573224815540016e-05,8.91587660589721e-06,,,
25,7885,2,-0.3404160588979721,-0.12574359774589539,0.00010107187699759379,9.512134056421928e-06,,,
25,7885,3,-0.3404160588979721,-0.12574359774589539,9.342040721094236e-05,8.965374036051799e-06,,,
25,7885,4,-0.3404160588979721,-0.12574359774589539,9.764092828845605e-05,9.571567716193385e-06,,,
26,7886,1,-0.29092293977737427,-0.1593392789363861,6.546360964421183e-05,6.157059033284895e-06,,,
26,7886,2,-0.29092293977737427,-0.1593392789363861,5.4427466238848865e-05,6.668628429906676e-06,,,
26,7886,3,-0.29092293977737427,-0.1593392789363861,7.076993642840534e-05,4.979227469448233e-06,,,
26,7886,4,-0.29092293977737427,-0.1593392789363861,6.344440771499649e-05,5.883683115825988e-06,,,
27,7887,1,-0.23526840284466743,-0.23624270036816597,0.00020743889035657048,1.9166218407917768e-05,,,
27,7887,2,-0.23526840284466743,-0.23624270036816597,0.00027249896083958447,1.4839823052170686e-05,,,
27,7887,3,-0.23526840284466743,-0.23624270036816597,0.00011839067155960947,1.1219824955333024e-05,,,
27,7887,4,-0.23526840284466743,-0.23624270036816597,0.00013841332111041993,8.044667993090115e-06,,,
28,7888,1,-0.1722705103456974,-0.28730854392051697,0.0010690137278288603,8.853325562085956e-05,,,
28,7888,2,-0.1722705103456974,-0.28730854392051697,0.0010252651991322637,9.197027975460514e-05,,,
28,7888,3,-0.1722705103456974,-0.28730854392051697,0.0008706022053956985,7.098725473042578e-05,,,
28,7888,4,-0.1722705103456974,-0.28730854392051697,0.0007591044413857162,7.74367363192141e-05,,,
29,7889,1,-0.12692037038505077,-0.3580084443092346,0.002422090619802475,0.00017870593001134694,,,
29,7889,2,-0.12692037038505077,-0.3580084443092346,0.0020870103035122156,0.00018484346219338477,,,
29,7889,3,-0.12692037038505077,-0.3580084443092346,0.0019853340927511454,0.00017147282778751105,,,
29,7889,4,-0.12692037038505077,-0.3580084443092346,0.0017416178015992045,0.00017757253954187036,,,
30,7890,1,-0.04841705784201622,-0.38945867121219635,0.004411816596984863,0.0004082375089637935,,,
30,7890,2,-0.04841705784201622,-0.38945867121219635,0.004842602647840977,0.00039412634214386344,,,
30,7890,3,-0.04841705784201622,-0.38945867121219635,0.00371835520491004,0.0003858941199723631,,,
30,7890,4,-0.04841705784201622,-0.38945867121219635,0.0042767901904881,0.0003709854499902576,,,
31,7891,1,0.009655182366259396,-0.44560203701257706,0.005911779124289751,0.0005234511918388307,,,
31,7891,2,0.009655182366259396,-0.44560203701257706,0.005708192475140095,0.0005338608752936125,,,
31,7891,3,0.009655182366259396,-0.44560203701257706,0.006611708085983992,0.0005804885295219719,,,
31,7891,4,0.009655182366259396,-0.44560203701257706,0.006432115100324154,0.0005903916899114847,,,
32,7892,1,0.002843542955815792,-0.4816996157169342,0.0062452033162117004,0.0005674762651324272,,,
32,7892,2,0.002843542955815792,-0.4816996157169342,0.006333910394459963,0.0005591694498434663,,,
32,7892,3,0.002843542955815792,-0.4816996157169342,0.005497489590197802,0.0005043265991844237,,,
32,7892,4,0.002843542955815792,-0.4816996157169342,0.00559718394652009,0.0004965275875292718,,,
33,7893,1,0.08157632034271955,-0.4829104468226433,0.008083190768957138,0.0007292567170225084,,,
33,7893,2,0.08157632034271955,-0.4829104468226433,0.008023700676858425,0.0007335885893553495,,,
33,7893,3,0.08157632034271955,-0.4829104468226433,0.00874883122742176,0.0007874533184804022,,,
33,7893,4,0.08157632034271955,-0.4829104468226433,0.008695967495441437,0.0007913651061244309,,,
34,7894,1,0.08409124799072742,-0.4494527205824852,0.008250639773905277,0.0007451795390807092,,,
34,7894,2,0.08409124799072742,-0.4494527205824852,0.008143998682498932,0.0007479177438654006,,,
34,7894,3,0.08409124799072742,-0.4494527205824852,0.008869331330060959,0.0008006438729353249,,,
34,7894,4,0.08409124799072742,-0.4494527205824852,0.008795283734798431,0.000801293586846441,,,
35,7895,1,0.11831807158887386,-0.4155612364411354,0.009353960864245892,0.0008469594176858664,,,
35,7895,2,0.11831807158887386,-0.4155612364411354,0.009914669208228588,0.0008839881047606468,,,
35,7895,3,0.11831807158887386,-0.4155612364411354,0.00939093716442585,0.0008549041813239455,,,
35,7895,4,0.11831807158887386,-0.4155612364411354,0.00982721894979477,0.0009062832104973495,,,
36,7896,1,0.12126722745597363,-0.3620379865169525,0.010194341652095318,0.0009352807537652552,,,
36,7896,2,0.12126722745597363,-0.3620379865169525,0.010428979992866516,0.0009309907909482718,,,
36,7896,3,0.12126722745597363,-0.3620379865169525,0.009813127107918262,0.0009113256819546223,,,
36,7896,4,0.12126722745597363,-0.3620379865169525,0.01005841139703989,0.0009072701795957983,,,
37,7897,1,0.09374767541885376,-0.28575313836336136,0.01023054588586092,0.0009520358289591968,,,
37,7897,2,0.09374767541885376,-0.28575313836336136,0.010242917574942112,0.0009150952682830393,,,
37,7897,3,0.09374767541885376,-0.28575313836336136,0.010706116445362568,0.0009940818417817354,,,
37,7897,4,0.09374767541885376,-0.28575313836336136,0.010619993321597576,0.0009693012107163668,,,
38,7898,1,0.09256660751998425,-0.23672397434711456,0.011756828986108303,0.0010544569231569767,,,
38,7898,2,0.09256660751998425,-0.23672397434711456,0.011752462014555931,0.0010910326382145286,,,
38,7898,3,0.09256660751998425,-0.23672397434711456,0.011331472545862198,0.0010217797243967652,,,
38,7898,4,0.09256660751998425,-0.23672397434711456,0.011393844150006771,0.001056985231116414,,,
39,7899,1,0.09346151724457741,-0.17775459960103035,0.013118425384163857,0.0011976214591413736,,,
39,7899,2,0.09346151724457741,-0.17775459960103035,0.013421731069684029,0.0012094010598957539,,,
39,7899,3,0.09346151724457741,-0.17775459960103035,0.013120326213538647,0.0012402994325384498,,,
39,7899,4,0.09346151724457741,-0.17775459960103035,0.013480358757078648,0.0012553344713523984,,,
40,7900,1,0.10596675425767899,-0.13419560715556145,0.014521148055791855,0.0013481006026268005,,,
40,7900,2,0.10596675425767899,-0.13419560715556145,0.01431654766201973,0.00134169717784971,,,
40,7900,3,0.10596675425767899,-0.13419560715556145,0.014692450873553753,0.0013480024645105004,,,
40,7900,4,0.10596675425767899,-0.13419560715556145,0.014522223733365536,0.0013399289455264807,,,
41,7901,1,0.12166590429842472,-0.050627388060092926,0.01286370400339365,0.001158939441666007,,,
41,7901,2,0.12166590429842472,-0.050627388060092926,0.013063565827906132,0.0011792072327807546,,,
41,7901,3,0.12166590429842472,-0.050627388060092926,0.012966993264853954,0.0011500889668241143,,,
41,7901,4,0.12166590429842472,-0.050627388060092926,0.013191868551075459,0.0011693814303725958,,,
42,7902,1,0.18156705051660538,-0.0068322556326165795,0.010124695487320423,0.0009041446610353887,,,
42,7902,2,0.18156705051660538,-0.0068322556326165795,0.010160866193473339,0.0009046579361893237,,,
