physical_element,u1_label,u2_label,cps4_label,source_storage_ip,odb_ip,source_category,connectivity,centroid_x,centroid_y,distance_from_notch_tip
16444,16444,50296,84148,3,4,insufficient_output_evidence+staggered_sync_effect,16474 16475 17068 17067,0.0175,-0.00050000035,0.01750714141
16444,16444,50296,84148,4,3,insufficient_output_evidence+staggered_sync_effect,16474 16475 17068 17067,0.0175,-0.00050000035,0.01750714141
16445,16445,50297,84149,3,4,insufficient_output_evidence+staggered_sync_effect,16475 16476 17069 17068,0.0185,-0.00050000035,0.0185067555328
16445,16445,50297,84149,4,3,insufficient_output_evidence+staggered_sync_effect,16475 16476 17069 17068,0.0185,-0.00050000035,0.0185067555328
16446,16446,50298,84150,3,4,insufficient_output_evidence+staggered_sync_effect,16476 16477 17070 17069,0.0195,-0.00050000035,0.0195064092121
16446,16446,50298,84150,4,3,insufficient_output_evidence+staggered_sync_effect,16476 16477 17070 17069,0.0195,-0.00050000035,0.0195064092121
16447,16447,50299,84151,3,4,insufficient_output_evidence+staggered_sync_effect,16477 16478 17071 17070,0.0205,-0.00050000035,0.0205060966629
16447,16447,50299,84151,4,3,insufficient_output_evidence+staggered_sync_effect,16477 16478 17071 17070,0.0205,-0.00050000035,0.0205060966629
16448,16448,50300,84152,3,4,insufficient_output_evidence+staggered_sync_effect,16478 16479 17072 17071,0.0215,-0.00050000035,0.0215058131757
16448,16448,50300,84152,4,3,insufficient_output_evidence+staggered_sync_effect,16478 16479 17072 17071,0.0215,-0.00050000035,0.0215058131757
16449,16449,50301,84153,4,3,insufficient_output_evidence+staggered_sync_effect,16479 16480 17073 17072,0.0225,-0.00050000035,0.0225055548776
16450,16450,50302,84154,3,4,insufficient_output_evidence+staggered_sync_effect,16480 16481 17074 17073,0.0235,-0.00050000035,0.0235053185545
16451,16451,50303,84155,3,4,insufficient_output_evidence+staggered_sync_effect,16481 16482 17075 17074,0.0245,-0.00050000035,0.0245051015168
16451,16451,50303,84155,4,3,insufficient_output_evidence+staggered_sync_effect,16481 16482 17075 17074,0.0245,-0.00050000035,0.0245051015168
16452,16452,50304,84156,3,4,insufficient_output_evidence+staggered_sync_effect,16482 16483 17076 17075,0.0255,-0.00050000035,0.0255049014966
16452,16452,50304,84156,4,3,insufficient_output_evidence+staggered_sync_effect,16482 16483 17076 17075,0.0255,-0.00050000035,0.0255049014966
16453,16453,50305,84157,3,4,insufficient_output_evidence+staggered_sync_effect,16483 16484 17077 17076,0.0265,-0.00050000035,0.026504716568
16453,16453,50305,84157,4,3,insufficient_output_evidence+staggered_sync_effect,16483 16484 17077 17076,0.0265,-0.00050000035,0.026504716568
16454,16454,50306,84158,3,4,staggered_sync_effect,16484 16485 17078 17077,0.0275,-0.00050000035,0.0275045450853
16454,16454,50306,84158,4,3,staggered_sync_effect,16484 16485 17078 17077,0.0275,-0.00050000035,0.0275045450853
16455,16455,50307,84159,4,3,staggered_sync_effect,16485 16486 17079 17078,0.0285,-0.00050000035,0.0285043856336
16972,16972,50824,84676,1,1,connected_crack_path_preceding_following,17049 17050 17597 17596,-0.0005,0.0005,0.000707106781187
16972,16972,50824,84676,2,2,connected_crack_path_preceding_following,17049 17050 17597 17596,-0.0005,0.0005,0.000707106781187
16972,16972,50824,84676,3,4,connected_crack_path_preceding_following,17049 17050 17597 17596,-0.0005,0.0005,0.000707106781187
16972,16972,50824,84676,4,3,connected_crack_path_preceding_following,17049 17050 17597 17596,-0.0005,0.0005,0.000707106781187
16973,16973,50825,84677,1,1,connected_crack_path_preceding_following+edge_sharing_neighbour_of_worst_event+insufficient_output_evidence+staggered_sync_effect,17050 17051 17598 17597,0.0005,0.0005,0.000707106781187
16973,16973,50825,84677,2,2,connected_crack_path_preceding_following+edge_sharing_neighbour_of_worst_event+insufficient_output_evidence+staggered_sync_effect,17050 17051 17598 17597,0.0005,0.0005,0.000707106781187
16973,16973,50825,84677,3,4,connected_crack_path_preceding_following+edge_sharing_neighbour_of_worst_event,17050 17051 17598 17597,0.0005,0.0005,0.000707106781187
16973,16973,50825,84677,4,3,connected_crack_path_preceding_following+edge_sharing_neighbour_of_worst_event,17050 17051 17598 17597,0.0005,0.0005,0.000707106781187
16974,16974,50826,84678,1,1,insufficient_output_evidence+staggered_sync_effect,17051 17052 17599 17598,0.0015,0.0005,0.00158113883008
16974,16974,50826,84678,2,2,insufficient_output_evidence+staggered_sync_effect,17051 17052 17599 17598,0.0015,0.0005,0.00158113883008
16974,16974,50826,84678,4,3,staggered_sync_effect,17051 17052 17599 17598,0.0015,0.0005,0.00158113883008
16975,16975,50827,84679,1,1,insufficient_output_evidence+staggered_sync_effect,17052 17053 17600 17599,0.0025,0.0005,0.0025495097568
16975,16975,50827,84679,2,2,insufficient_output_evidence+staggered_sync_effect,17052 17053 17600 17599,0.0025,0.0005,0.0025495097568
16976,16976,50828,84680,1,1,insufficient_output_evidence+staggered_sync_effect,17053 17054 17601 17600,0.0035,0.0005,0.00353553390593
16976,16976,50828,84680,2,2,insufficient_output_evidence+staggered_sync_effect,17053 17054 17601 17600,0.0035,0.0005,0.00353553390593
16977,16977,50829,84681,1,1,insufficient_output_evidence+staggered_sync_effect,17054 17055 17602 17601,0.0045,0.0005,0.00452769256907
16977,16977,50829,84681,2,2,insufficient_output_evidence+staggered_sync_effect,17054 17055 17602 17601,0.0045,0.0005,0.00452769256907
16978,16978,50830,84682,1,1,insufficient_output_evidence+staggered_sync_effect,17055 17056 17603 17602,0.0055,0.0005,0.00552268050859
16978,16978,50830,84682,2,2,insufficient_output_evidence+staggered_sync_effect,17055 17056 17603 17602,0.0055,0.0005,0.00552268050859
16979,16979,50831,84683,1,1,insufficient_output_evidence+staggered_sync_effect,17056 17057 17604 17603,0.0065,0.0005,0.0065192024052
