node_id,x,y
911,0.317,-0.4752504596
912,0.318,-0.4752504596
913,0.319,-0.4752504596
914,0.32,-0.4752504596
915,0.321,-0.4752504596
916,0.322,-0.4752504596
917,0.323,-0.4752504596
918,0.324,-0.4752504596
919,0.325,-0.4752504596
920,0.326,-0.4752504596
921,0.327,-0.4752504596
922,0.328,-0.4752504596
923,0.329,-0.4752504596
924,0.33,-0.4752504596
925,0.331,-0.4752504596
926,0.332,-0.4752504596
927,0.333,-0.4752504596
928,0.334,-0.4752504596
929,0.335,-0.4752504596
930,0.336,-0.4752504596
931,0.337,-0.4752504596
932,0.338,-0.4752504596
933,0.339,-0.4752504596
934,0.34,-0.4752504596
935,0.341,-0.4752504596
936,0.342,-0.4752504596
937,0.343,-0.4752504596
938,0.344,-0.4752504596
939,0.345,-0.4752504596
940,0.346,-0.4752504596
941,0.347,-0.4752504596
942,0.348,-0.4752504596
943,0.349,-0.4752504596
944,0.35,-0.4752504596
945,0.351,-0.4752504596
946,0.352,-0.4752504596
947,0.353,-0.4752504596
948,0.354,-0.4752504596
949,0.355,-0.4752504596
950,0.356,-0.4752504596
951,0.357,-0.4752504596
952,0.358,-0.4752504596
953,0.359,-0.4752504596
954,0.36,-0.4752504596
955,0.361,-0.4752504596
956,0.362,-0.4752504596
957,0.363,-0.4752504596
958,0.364,-0.4752504596
959,0.365,-0.4752504596
960,0.366,-0.4752504596
961,0.367,-0.4752504596
962,0.368,-0.4752504596
963,0.369,-0.4752504596
964,0.37,-0.4752504596
965,0.371,-0.4752504596
966,0.372,-0.4752504596
967,0.373,-0.4752504596
968,0.374,-0.4752504596
969,0.375,-0.4752504596
970,0.376,-0.4752504596
971,0.377,-0.4752504596
972,0.378,-0.4752504596
973,0.379,-0.4752504596
974,0.38,-0.4752504596
975,0.381,-0.4752504596
976,0.382,-0.4752504596
977,0.383,-0.4752504596
978,0.384,-0.4752504596
979,0.385,-0.4752504596
980,0.386,-0.4752504596
981,0.387,-0.4752504596
982,0.388,-0.4752504596
983,0.389,-0.4752504596
984,0.39,-0.4752504596
985,0.391,-0.4752504596
986,0.392,-0.4752504596
987,0.393,-0.4752504596
988,0.394,-0.4752504596
989,0.395,-0.4752504596
990,0.396,-0.4752504596
991,0.397,-0.4752504596
992,0.398,-0.4752504596
993,0.399,-0.4752504596
994,0.4,-0.4752504596
995,0.401,-0.4752504596
996,0.402,-0.4752504596
997,0.403,-0.4752504596
998,0.404,-0.4752504596
999,0.405,-0.4752504596
1000,0.406,-0.4752504596
1001,0.407,-0.4752504596
1002,0.408,-0.4752504596
1003,0.409,-0.4752504596
1004,0.41,-0.4752504596
1005,0.411,-0.4752504596
1006,0.412,-0.4752504596
1007,0.413,-0.4752504596
1008,0.414,-0.4752504596
1009,0.415,-0.4752504596
1010,0.416,-0.4752504596
1011,0.417,-0.4752504596
1012,0.418,-0.4752504596
1013,0.419,-0.4752504596
1014,0.42,-0.4752504596
1015,0.421,-0.4752504596
1016,0.422,-0.4752504596
1017,0.423,-0.4752504596
1018,0.424,-0.4752504596
1019,0.425,-0.4752504596
1020,0.426,-0.4752504596
1021,0.427,-0.4752504596
1022,0.428,-0.4752504596
1023,0.429,-0.4752504596
1024,0.43,-0.4752504596
1025,0.431,-0.4752504596
1026,0.432,-0.4752504596
1027,0.433,-0.4752504596
1028,0.434,-0.4752504596
1029,0.435,-0.4752504596
1030,0.436,-0.4752504596
1031,0.437,-0.4752504596
1032,0.438,-0.4752504596
1033,0.439,-0.4752504596
1034,0.44,-0.4752504596
1035,0.441,-0.4752504596
1036,0.442,-0.4752504596
1037,0.443,-0.4752504596
1038,0.444,-0.4752504596
1039,0.445,-0.4752504596
1040,0.446,-0.4752504596
1041,0.447,-0.4752504596
