element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
84,3,2.0318313205827956e-05,2.0318313205827956e-05,0.0,0.0
84,4,2.6451133852358154e-05,2.6451133852358154e-05,0.0,0.0
85,1,1.7362703595707125e-05,1.7362703595707125e-05,0.0,0.0
85,2,1.4799485661021146e-05,1.4799485661021146e-05,0.0,0.0
85,3,1.391591610935382e-05,1.391591610935382e-05,0.0,0.0
85,4,1.656155595812787e-05,1.656155595812787e-05,0.0,0.0
86,1,1.28986840987672e-05,1.28986840987672e-05,0.0,0.0
86,2,1.2359097257214626e-05,1.2359097257214626e-05,0.0,0.0
86,3,1.2976640432426364e-05,1.2976640432426364e-05,0.0,0.0
86,4,1.3363288667496391e-05,1.3363288667496391e-05,0.0,0.0
87,1,1.113944705990295e-05,1.113944705990295e-05,0.0,0.0
87,2,8.202406274007826e-06,8.202406274007826e-06,0.0,0.0
87,3,8.594116703683178e-06,8.594116703683178e-06,0.0,0.0
87,4,1.1781670642218242e-05,1.1781670642218242e-05,0.0,0.0
88,1,5.835515021593701e-06,5.835515021593701e-06,0.0,0.0
88,2,3.715977875956553e-06,3.715977875956553e-06,0.0,0.0
88,3,3.604609845323873e-06,3.604609845323873e-06,0.0,0.0
88,4,5.936880660456078e-06,5.936880660456078e-06,0.0,0.0
89,1,3.1316917892560045e-06,3.1316917892560045e-06,0.0,0.0
89,2,2.8249507992015117e-06,2.8249507992015117e-06,0.0,0.0
89,3,2.8572476127555655e-06,2.8572476127555655e-06,0.0,0.0
89,4,3.004043597783315e-06,3.004043597783315e-06,0.0,0.0
90,1,2.639843449102869e-06,2.639843449102869e-06,0.0,0.0
90,2,2.0608048025973904e-06,2.0608048025973904e-06,0.0,0.0
90,3,2.0918395247348716e-06,2.0918395247348716e-06,0.0,0.0
90,4,2.6770689745754548e-06,2.6770689745754548e-06,0.0,0.0
91,1,1.4980930814875184e-06,1.4980930814875184e-06,0.0,0.0
91,2,9.198594739556862e-07,9.198594739556862e-07,0.0,0.0
91,3,9.215845816074277e-07,9.215845816074277e-07,0.0,0.0
91,4,1.5148819552869345e-06,1.5148819552869345e-06,0.0,0.0
92,1,7.366084667386391e-07,7.366084667386391e-07,0.0,0.0
92,2,7.564774768460507e-07,7.564774768460507e-07,0.0,0.0
92,3,6.836650126166155e-07,6.836650126166155e-07,0.0,0.0
92,4,7.349777287508218e-07,7.349777287508218e-07,0.0,0.0
93,1,1.0501273140568606e-06,1.0501273140568606e-06,0.0,0.0
93,2,2.17159388894755e-06,2.17159388894755e-06,0.0,0.0
93,3,2.1709519339868566e-06,2.1709519339868566e-06,0.0,0.0
93,4,1.0448186765177014e-06,1.0448186765177014e-06,0.0,0.0
94,1,3.435520328049066e-06,3.435520328049066e-06,0.0,0.0
94,2,4.938092358721873e-06,4.938092358721873e-06,0.0,0.0
94,3,4.951076700368571e-06,4.951076700368571e-06,0.0,0.0
94,4,3.4420734391271493e-06,3.4420734391271493e-06,0.0,0.0
95,1,5.497746812440618e-06,5.497746812440618e-06,0.0,0.0
95,2,5.869743254793607e-06,5.869743254793607e-06,0.0,0.0
95,3,5.737959014348023e-06,5.737959014348023e-06,0.0,0.0
95,4,5.510358291415684e-06,5.510358291415684e-06,0.0,0.0
96,1,6.374050667254862e-06,6.374050667254862e-06,0.0,0.0
96,2,8.8072798293154e-06,8.8072798293154e-06,0.0,0.0
96,3,8.822789165852852e-06,8.822789165852852e-06,0.0,0.0
96,4,6.347402083027272e-06,6.347402083027272e-06,0.0,0.0
97,1,1.1991034517831631e-05,1.1991034517831631e-05,0.0,0.0
