node,x,y,d_F1,d_D3A5,d_D3A5_minus_d_F1,active_lower_bound,residual_Kd_minus_f
3946,-0.2875,0.09999999999999998,9.966654405103422e-05,9.966654405103422e-05,0.0,True,-8.271806125530277e-25
3947,-0.275,0.09999999999999998,9.564634372335125e-05,9.564634372335125e-05,0.0,True,2.0679515313825692e-24
3948,-0.2625,0.09999999999999998,8.971390893000822e-05,8.971390893000822e-05,0.0,True,-1.9942539213187847e-14
3949,-0.25,0.09999999999999998,8.171147269566282e-05,8.171147269566282e-05,0.0,True,-9.858708909078688e-14
3950,-0.2375,0.09999999999999998,7.541910308602387e-05,7.541910308602387e-05,0.0,True,-9.016828639059775e-14
3951,-0.22499999999999998,0.09999999999999998,6.899437870448606e-05,6.899437870448606e-05,0.0,True,-9.527541153328693e-14
3952,-0.21250000000000002,0.09999999999999998,6.732824761810445e-05,6.732824761810445e-05,0.0,True,-3.555726765305396e-13
3953,-0.2,0.09999999999999998,7.640393110593756e-05,7.640393110593756e-05,0.0,True,3.7223127564886245e-24
3954,-0.1875,0.09999999999999998,9.732557588619642e-05,9.732557588619642e-05,0.0,True,-1.0339757656912846e-25
3955,-0.175,0.09999999999999998,0.00014874905991802372,0.00014874905991802372,0.0,True,-1.8611563782443123e-24
3956,-0.16249999999999998,0.09999999999999998,0.00022340227055936187,0.00022340227055936187,0.0,True,2.0996437494820496e-10
3957,-0.15000000000000002,0.09999999999999998,0.0003363509644164717,0.0003363509644164717,0.0,True,1.6543612251060553e-24
3958,-0.1375,0.09999999999999998,0.0005253575452242149,0.0005253575452242149,0.0,True,-9.926167350636332e-24
3959,-0.125,0.09999999999999998,0.000813276167866674,0.000813276167866674,0.0,True,2.3161057151484775e-23
3960,-0.11249999999999999,0.09999999999999998,0.0012687452765591848,0.0012687452765591848,0.0,True,3.639594695233322e-23
3961,-0.09999999999999998,0.09999999999999998,0.001888339627707407,0.001888339627707407,0.0,True,-7.940933880509066e-23
3962,-0.08750000000000002,0.09999999999999998,0.002709258809236923,0.002709258809236923,0.0,True,5.955700410381799e-23
3963,-0.07500000000000001,0.09999999999999998,0.004257758375474261,0.004257758375474261,0.0,True,5.226230531921345e-08
3964,-0.0625,0.09999999999999998,0.005213994232762173,0.005213994232762173,0.0,True,-2.1484011949946864e-13
3965,-0.04999999999999999,0.09999999999999998,0.007331670280142548,0.007331670280142548,0.0,True,4.14937308151013e-08
3966,-0.03749999999999998,0.09999999999999998,0.00894368924776721,0.008943698796721768,9.5489545576255e-09,False,0.0
3967,-0.025000000000000022,0.09999999999999998,0.011271642449974462,0.011271642449974462,0.0,True,2.541191384139289e-09
3968,-0.012500000000000011,0.09999999999999998,0.014039030517579437,0.014039030517579437,0.0,True,8.41501240540974e-08
3969,0.0,0.09999999999999998,0.015329531808227865,0.015329552643340813,2.0835112947426015e-08,False,-2.6469779601696886e-22
3970,0.012499999999999956,0.09999999999999998,0.016739102951951024,0.016739113962539253,1.1010588229359852e-08,False,-2.117582368135751e-22
3971,0.025000000000000022,0.09999999999999998,0.0176846902181115,0.017684705510929308,1.529281780723868e-08,False,3.1763735522036263e-22
3972,0.03749999999999998,0.09999999999999998,0.01806054233318539,0.01806054233318539,0.0,True,-8.790084110493597e-13
3973,0.050000000000000044,0.09999999999999998,0.018039054059000147,0.018039054059000147,0.0,True,4.191691652899275e-09
3974,0.0625,0.09999999999999998,0.017746955210968446,0.017746955210968446,0.0,True,1.9510521836536758e-08
3975,0.07499999999999996,0.09999999999999998,0.017063409686228246,0.017063409686228246,0.0,True,9.998507416168033e-09
3976,0.08750000000000002,0.09999999999999998,0.016409820163302058,0.016409820163302058,0.0,True,2.1458363682610008e-08
3977,0.09999999999999998,0.09999999999999998,0.015465885784116111,0.015465885784116111,0.0,True,1.5881867761018131e-22
3978,0.11250000000000004,0.09999999999999998,0.014723037453383747,0.014723037453383747,0.0,True,1.5881867761018131e-22
3979,0.125,0.09999999999999998,0.014059185546254892,0.014059185546254892,0.0,True,4.764560328305439e-22
3980,0.13749999999999996,0.09999999999999998,0.01352979167285354,0.01352979167285354,0.0,True,5.0186906789118765e-09
3981,0.15000000000000002,0.09999999999999998,0.012999188473268114,0.012999188473268114,0.0,True,2.2804746792461132e-09
3982,0.16249999999999998,0.09999999999999998,0.012534725570678772,0.012534725570678772,0.0,True,3.705769144237564e-22
3983,0.17500000000000004,0.09999999999999998,0.012169228716347597,0.012169228716347597,0.0,True,-7.411538288475128e-22
3984,0.1875,0.09999999999999998,0.011854506172730709,0.011854506172730709,0.0,True,3.705769144237564e-22
3985,0.19999999999999996,0.09999999999999998,0.011633446839020518,0.011633446839020518,0.0,True,5.405666611588541e-09
3986,0.21250000000000002,0.09999999999999998,0.0113815072085992,0.0113815072085992,0.0,True,1.3054410816241537e-09
3987,0.22499999999999998,0.09999999999999998,0.011189208195064412,0.011189208195064412,0.0,True,3.705769144237564e-22
3988,0.23750000000000004,0.09999999999999998,0.011047643765705863,0.011047643765705863,0.0,True,1.619057035109573e-09
3989,0.25,0.09999999999999998,0.010910645319658286,0.010910645319658286,0.0,True,4.659043520605838e-10
3990,0.26249999999999996,0.09999999999999998,0.010801188826441358,0.010801188826441358,0.0,True,2.6469779601696886e-22
3991,0.275,0.09999999999999998,0.010717265558732932,0.010717265558732932,0.0,True,3.338747566820879e-10
3992,0.2875,0.09999999999999998,0.010668549814940143,0.010668549814940143,0.0,True,4.1997116397850104e-09
3993,0.30000000000000004,0.09999999999999998,0.010560796720885862,0.010560796720885862,0.0,True,2.117582368135751e-22
3994,0.3125,0.09999999999999998,0.010486876063925826,0.010486876063925826,0.0,True,-5.293955920339377e-22
3995,0.32499999999999996,0.09999999999999998,0.01042374967599182,0.01042374967599182,0.0,True,6.88214269644119e-22
3996,0.3375,0.09999999999999998,0.010368869298339826,0.010368869298339826,0.0,True,-2.6469779601696886e-22
3997,0.35,0.09999999999999998,0.010315573495845158,0.010315573495845158,0.0,True,3.323215578988916e-10
3998,0.36250000000000004,0.09999999999999998,0.010249600120441755,0.010249600120441755,0.0,True,-5.293955920339377e-23
3999,0.375,0.09999999999999998,0.010181198067556105,0.010181198067556105,0.0,True,0.0
4000,0.38749999999999996,0.09999999999999998,0.010108472308097046,0.010108472308097046,0.0,True,1.0587911840678754e-22
4001,0.4,0.09999999999999998,0.01006260705785969,0.01006260705785969,0.0,True,5.404739747620522e-09
4002,0.4125,0.09999999999999998,0.009928776928432219,0.009928776928432219,0.0,True,2.6469779601696886e-22
4003,0.42500000000000004,0.09999999999999998,0.009817287710978628,0.009817287710978628,0.0,True,-2.117582368135751e-22
4004,0.4375,0.09999999999999998,0.009682863291166929,0.009682863291166929,0.0,True,1.0587911840678754e-22
4005,0.44999999999999996,0.09999999999999998,0.009530428055646798,0.009530428055646798,0.0,True,5.293955920339377e-23
4006,0.4625,0.09999999999999998,0.009354699249558132,0.009354699249558132,0.0,True,1.0587911840678754e-22
4007,0.475,0.09999999999999998,0.009217176430225987,0.009217176430225987,0.0,True,2.1864057273109586e-09
4008,0.48750000000000004,0.09999999999999998,0.009062048493850899,0.009062048493850899,0.0,True,-3.705769144237564e-22
4009,0.5,0.09999999999999998,0.009021025489644518,0.009021025489644518,0.0,True,-5.293955920339377e-23
4010,-0.5,0.11250000000000004,3.568292085146282e-05,3.568292085146282e-05,0.0,True,1.4314556080942682e-10
4011,-0.4875,0.11250000000000004,3.3910825323061445e-05,3.3910825323061445e-05,0.0,True,-3.101927297073854e-25
4012,-0.475,0.11250000000000004,3.7710616786638415e-05,3.7710616786638415e-05,0.0,True,7.237830359838992e-25
4013,-0.4625,0.11250000000000004,4.362084219089202e-05,4.362084219089202e-05,0.0,True,4.1359030627651384e-25
4014,-0.45,0.11250000000000004,5.106334170792581e-05,5.106334170792581e-05,0.0,True,-1.2407709188295415e-24
4015,-0.4375,0.11250000000000004,5.6642156143898556e-05,5.6642156143898556e-05,0.0,True,-8.271806125530277e-25
4016,-0.425,0.11250000000000004,6.470550732877222e-05,6.470550732877222e-05,0.0,True,-2.895132143935597e-24
4017,-0.4125,0.11250000000000004,7.358426534792334e-05,7.358426534792334e-05,0.0,True,-1.2407709188295415e-24
4018,-0.4,0.11250000000000004,7.975842356036422e-05,7.975842356036422e-05,0.0,True,4.1359030627651384e-25
4019,-0.3875,0.11250000000000004,8.71357046910315e-05,8.71357046910315e-05,0.0,True,-2.481541837659083e-24
4020,-0.375,0.11250000000000004,9.413526523210305e-05,9.413526523210305e-05,0.0,True,2.481541837659083e-24
4021,-0.3625,0.11250000000000004,9.832135128374647e-05,9.832135128374647e-05,0.0,True,-3.7223127564886245e-24
4022,-0.35,0.11250000000000004,0.00010185575319292141,0.00010185575319292141,0.0,True,1.6543612251060553e-24
4023,-0.3375,0.11250000000000004,0.00010406415904651824,0.00010406415904651824,0.0,True,4.1359030627651384e-25
4024,-0.325,0.11250000000000004,0.00010330871626011168,0.00010330871626011168,0.0,True,7.031035206700735e-24
4025,-0.3125,0.11250000000000004,9.926587786267083e-05,9.926587786267083e-05,0.0,True,8.68539643180679e-24
4026,-0.3,0.11250000000000004,9.445223010559175e-05,9.445223010559175e-05,0.0,True,0.0
4027,-0.2875,0.11250000000000004,9.007886071677127e-05,9.007886071677127e-05,0.0,True,6.617444900424222e-24
4028,-0.275,0.11250000000000004,8.347108180479875e-05,8.347108180479875e-05,0.0,True,-1.7856574392944476e-14
4029,-0.2625,0.11250000000000004,7.52395112628999e-05,7.52395112628999e-05,0.0,True,-1.4106821243661052e-13
4030,-0.25,0.11250000000000004,6.686798835471759e-05,6.686798835471759e-05,0.0,True,-3.679320254490803e-13
4031,-0.2375,0.11250000000000004,6.103581369501122e-05,6.103581369501122e-05,0.0,True,-3.3651262604655276e-13
4032,-0.22499999999999998,0.11250000000000004,5.9201922257701805e-05,5.9201922257701805e-05,0.0,True,2.0679515313825692e-24
4033,-0.21250000000000002,0.11250000000000004,6.264281093738047e-05,6.264281093738047e-05,0.0,True,-4.1359030627651384e-25
4034,-0.2,0.11250000000000004,8.001798095090678e-05,8.001798095090678e-05,0.0,True,-5.790264287871194e-24
4035,-0.1875,0.11250000000000004,0.00013008086395875697,0.00013008086395875697,0.0,True,1.8052872330190874e-09
4036,-0.175,0.11250000000000004,0.00018084213007325755,0.00018084213007325755,0.0,True,-4.1359030627651384e-24
4037,-0.16249999999999998,0.11250000000000004,0.00034646550699089145,0.00034646550699089145,0.0,True,8.266797051818189e-09
4038,-0.15000000000000002,0.11250000000000004,0.0004218306095172642,0.0004218306095172642,0.0,True,1.075334796318936e-23
4039,-0.1375,0.11250000000000004,0.0006381922730894379,0.0006381922730894379,0.0,True,-3.308722450212111e-24
4040,-0.125,0.11250000000000004,0.0009452452877503275,0.0009452452877503275,0.0,True,1.6543612251060553e-23
4041,-0.11249999999999999,0.11250000000000004,0.0013881108190426212,0.0013881108190426212,0.0,True,-5.293955920339377e-23
4042,-0.09999999999999998,0.11250000000000004,0.002008998993856998,0.002008998993856998,0.0,True,9.26442286059391e-23
4043,-0.08750000000000002,0.11250000000000004,0.002841615544128038,0.002841615544128038,0.0,True,-9.26442286059391e-23
4044,-0.07500000000000001,0.11250000000000004,0.003903589408734253,0.003903589408734253,0.0,True,6.617444900424221e-23
4045,-0.0625,0.11250000000000004,0.005201368394161178,0.005201368394161178,0.0,True,-2.117582368135751e-22
4046,-0.04999999999999999,0.11250000000000004,0.006771998851485999,0.006771998851485999,0.0,True,1.4664901386884354e-09
4047,-0.03749999999999998,0.11250000000000004,0.008517003468691364,0.008517003468691364,0.0,True,-9.88283318740645e-14
4048,-0.025000000000000022,0.11250000000000004,0.010457761941631425,0.010457761941631425,0.0,True,-1.2137963589426535e-13
4049,-0.012500000000000011,0.11250000000000004,0.01238352163635808,0.01238352163635808,0.0,True,1.263109957073439e-08
4050,0.0,0.11250000000000004,0.013885852893701253,0.013885852893701253,0.0,True,-3.5512886289818535e-13
4051,0.012499999999999956,0.11250000000000004,0.015135300454304668,0.015135300454304668,0.0,True,-5.727268189182296e-13
4052,0.025000000000000022,0.11250000000000004,0.01609938683315646,0.01609938683315646,0.0,True,-2.977321534341431e-13
4053,0.03749999999999998,0.11250000000000004,0.016640888349517574,0.016640888349517574,0.0,True,-1.9429501571475711e-13
4054,0.050000000000000044,0.11250000000000004,0.016810076733742282,0.016810076733742282,0.0,True,-1.0587911840678754e-22
4055,0.0625,0.11250000000000004,0.01668839629575166,0.01668839629575166,0.0,True,0.0
4056,0.07499999999999996,0.11250000000000004,0.016365386491307157,0.016365386491307157,0.0,True,-4.764560328305439e-22
4057,0.08750000000000002,0.11250000000000004,0.01586278219655409,0.01586278219655409,0.0,True,5.823351512373315e-22
4058,0.09999999999999998,0.11250000000000004,0.015280395973518737,0.015280395973518737,0.0,True,-5.293955920339377e-22
4059,0.11250000000000004,0.11250000000000004,0.01468593652927895,0.01468593652927895,0.0,True,-7.940933880509066e-22
4060,0.125,0.11250000000000004,0.014137389327455003,0.014137389327455003,0.0,True,1.0587911840678754e-22
4061,0.13749999999999996,0.11250000000000004,0.013657959945078407,0.013657959945078407,0.0,True,2.7298564005220494e-09
4062,0.15000000000000002,0.11250000000000004,0.013177642375590132,0.013177642375590132,0.0,True,2.117582368135751e-22
4063,0.16249999999999998,0.11250000000000004,0.012761577610110559,0.012761577610110559,0.0,True,-1.0587911840678754e-22
4064,0.17500000000000004,0.11250000000000004,0.012407827446945656,0.012407827446945656,0.0,True,4.764560328305439e-22
4065,0.1875,0.11250000000000004,0.012117715393412701,0.012117715393412701,0.0,True,2.116562976268249e-09
4066,0.19999999999999996,0.11250000000000004,0.011841191645939471,0.011841191645939471,0.0,True,6.88214269644119e-22
4067,0.21250000000000002,0.11250000000000004,0.01161871885142747,0.01161871885142747,0.0,True,5.293955920339377e-22
4068,0.22499999999999998,0.11250000000000004,0.0114220666881251,0.0114220666881251,0.0,True,-6.352747104407253e-22
4069,0.23750000000000004,0.11250000000000004,0.011259688508983188,0.011259688508983188,0.0,True,3.1763735522036263e-22
4070,0.25,0.11250000000000004,0.011121857670925517,0.011121857670925517,0.0,True,-5.293955920339377e-23
4071,0.26249999999999996,0.11250000000000004,0.01100539170682263,0.01100539170682263,0.0,True,1.0587911840678754e-22
4072,0.275,0.11250000000000004,0.010945424976964341,0.010945424976964341,0.0,True,3.830696585733327e-09
4073,0.2875,0.11250000000000004,0.010852219164116049,0.010852219164116049,0.0,True,2.935132674887075e-09
4074,0.30000000000000004,0.11250000000000004,0.010744393101481139,0.010744393101481139,0.0,True,-2.6469779601696886e-22
4075,0.3125,0.11250000000000004,0.010652721601209034,0.010652721601209034,0.0,True,-5.293955920339377e-23
4076,0.32499999999999996,0.11250000000000004,0.01057694458790577,0.01057694458790577,0.0,True,1.5881867761018131e-22
4077,0.3375,0.11250000000000004,0.010509523454644776,0.010509523454644776,0.0,True,-5.293955920339377e-23
4078,0.35,0.11250000000000004,0.01044839129791648,0.01044839129791648,0.0,True,5.293955920339377e-23
4079,0.36250000000000004,0.11250000000000004,0.010382727539029898,0.010382727539029898,0.0,True,-1.5881867761018131e-22
4080,0.375,0.11250000000000004,0.010313203865696329,0.010313203865696329,0.0,True,3.705769144237564e-22
4081,0.38749999999999996,0.11250000000000004,0.010235024542128197,0.010235024542128197,0.0,True,0.0
4082,0.4,0.11250000000000004,0.010143234458314838,0.010143234458314838,0.0,True,2.6469779601696886e-22
4083,0.4125,0.11250000000000004,0.010049231782192532,0.010049231782192532,0.0,True,5.293955920339377e-23
4084,0.42500000000000004,0.11250000000000004,0.009946605156778553,0.009946605156778553,0.0,True,1.2548322931041507e-10
4085,0.4375,0.11250000000000004,0.009901152289458726,0.009901152289458726,0.0,True,1.112364999466572e-08
4086,0.44999999999999996,0.11250000000000004,0.009671856785220388,0.009671856785220388,0.0,True,-3.1763735522036263e-22
4087,0.4625,0.11250000000000004,0.009503438676993253,0.009503438676993253,0.0,True,-2.117582368135751e-22
4088,0.475,0.11250000000000004,0.009353025924081573,0.009353025924081573,0.0,True,7.940933880509066e-22
4089,0.48750000000000004,0.11250000000000004,0.009228826803528427,0.009228826803528427,0.0,True,4.235164736271502e-22
4090,0.5,0.11250000000000004,0.009192550618369464,0.009192550618369464,0.0,True,-7.940933880509066e-23
4091,-0.5,0.125,4.482905337517117e-05,4.482905337517117e-05,0.0,True,7.664879383470802e-11
4092,-0.4875,0.125,4.5022875232034244e-05,4.5022875232034244e-05,0.0,True,5.749963902176846e-11
4093,-0.475,0.125,4.818803136282594e-05,4.818803136282594e-05,0.0,True,-1.8611563782443123e-24
4094,-0.4625,0.125,6.508055784517121e-05,6.508055784517121e-05,0.0,True,1.3713256344154982e-09
4095,-0.45,0.125,6.0020307456624645e-05,6.0020307456624645e-05,0.0,True,-1.6543612251060553e-24
4096,-0.4375,0.125,6.443406798604639e-05,6.443406798604639e-05,0.0,True,2.0679515313825692e-25
4097,-0.425,0.125,7.703113443542007e-05,7.703113443542007e-05,0.0,True,5.947354060401172e-10
4098,-0.4125,0.125,7.989791396133108e-05,7.989791396133108e-05,0.0,True,-4.1359030627651384e-25
4099,-0.4,0.125,8.488825241073238e-05,8.488825241073238e-05,0.0,True,1.6543612251060553e-24
4100,-0.3875,0.125,9.170748733928403e-05,9.170748733928403e-05,0.0,True,3.0954244054405143e-11
4101,-0.375,0.125,9.649711922131645e-05,9.649711922131645e-05,0.0,True,4.1359030627651384e-25
4102,-0.3625,0.125,9.897556444088152e-05,9.897556444088152e-05,0.0,True,1.2407709188295415e-24
4103,-0.35,0.125,0.00010048876856163707,0.00010048876856163707,0.0,True,8.271806125530277e-25
4104,-0.3375,0.125,0.00010090690695529954,0.00010090690695529954,0.0,True,-3.308722450212111e-24
4105,-0.325,0.125,9.883412806909786e-05,9.883412806909786e-05,0.0,True,2.0679515313825692e-24
4106,-0.3125,0.125,9.391805577635905e-05,9.391805577635905e-05,0.0,True,4.1359030627651384e-25
4107,-0.3,0.125,8.865393452049592e-05,8.865393452049592e-05,0.0,True,-4.1359030627651384e-25
4108,-0.2875,0.125,8.238500684511088e-05,8.238500684511088e-05,0.0,True,2.2276099076507075e-11
4109,-0.275,0.125,7.252224876709142e-05,7.252224876709142e-05,0.0,True,-3.762815108790198e-13
4110,-0.2625,0.125,6.556165212179954e-05,6.556165212179954e-05,0.0,True,-2.4870999710147276e-13
4111,-0.25,0.125,6.036031173949889e-05,6.036031173949889e-05,0.0,True,9.715164886347775e-12
4112,-0.2375,0.125,5.637416402321477e-05,5.637416402321477e-05,0.0,True,-1.0339757656912846e-24
4113,-0.22499999999999998,0.125,5.80881361167191e-05,5.80881361167191e-05,0.0,True,-2.0679515313825692e-24
4114,-0.21250000000000002,0.125,7.373417919828813e-05,7.373417919828813e-05,0.0,True,6.655946109478845e-10
4115,-0.2,0.125,9.727028417424095e-05,9.727028417424095e-05,0.0,True,-4.1359030627651384e-24
4116,-0.1875,0.125,0.00015148688423785312,0.00015148688423785312,0.0,True,6.422035757074557e-10
4117,-0.175,0.125,0.00023424443535224198,0.00023424443535224198,0.0,True,8.68539643180679e-24
4118,-0.16249999999999998,0.125,0.0003627441270416341,0.0003627441270416341,0.0,True,1.1500893080192347e-09
4119,-0.15000000000000002,0.125,0.0005309781562974963,0.0005309781562974963,0.0,True,1.4889251025954498e-23
4120,-0.1375,0.125,0.0008067944994775894,0.0008067944994775894,0.0,True,4.395877466710018e-09
4121,-0.125,0.125,0.0010937462104181562,0.0010937462104181562,0.0,True,-9.926167350636332e-24
4122,-0.11249999999999999,0.125,0.0015601391255788528,0.0015601391255788528,0.0,True,-1.3234889800848443e-23
4123,-0.09999999999999998,0.125,0.0021349364964860897,0.0021349364964860897,0.0,True,1.257314531080602e-22
