event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
248,199,200,84706,2,17002,170.25126647949219,170.25126647949219,0,false
249,190,191,84145,3,16441,200.65788269042969,200.65788269042969,0,false
250,195,196,84700,2,16996,201.78329467773438,201.78329467773438,0,false
251,189,190,84138,4,16434,201.40493774414062,201.40493774414062,0,false
252,200,201,84130,4,16426,150.66653442382812,150.66653442382812,0,false
253,197,198,84705,2,17001,172.22897338867188,172.22897338867188,0,false
254,193,194,84146,3,16442,200.05628967285156,200.05628967285156,0,false
255,194,195,84150,3,16446,200.54454040527344,200.54454040527344,0,false
256,191,192,84141,4,16437,201.84580993652344,201.84580993652344,0,false
257,190,191,84142,4,16438,201.68635559082031,201.68635559082031,0,false
258,197,198,84706,1,17002,171.89523315429688,171.89523315429688,0,false
259,197,198,84705,1,17001,174.6923828125,174.6923828125,0,false
260,187,188,84140,4,16436,201.89346313476562,201.89346313476562,0,false
261,193,194,84151,4,16447,205.09544372558594,205.09544372558594,0,false
262,186,187,84140,4,16436,201.89346313476562,201.89346313476562,0,false
263,197,198,84704,2,17000,175.920654296875,175.920654296875,0,false
264,195,196,84703,2,16999,179.57609558105469,179.57609558105469,0,false
265,200,201,84712,1,17008,171.70074462890625,171.70074462890625,0,false
266,187,188,84137,3,16433,201.17720031738281,201.17720031738281,0,false
267,184,185,84136,4,16432,201.35389709472656,201.35389709472656,0,false
268,195,196,84149,3,16445,199.65434265136719,199.65434265136719,0,false
269,197,198,84706,2,17002,170.25126647949219,170.25126647949219,0,false
270,192,193,84143,4,16439,201.2158203125,201.2158203125,0,false
271,197,198,84701,1,16997,197.03854370117188,197.03854370117188,0,false
272,200,201,84712,2,17008,166.55763244628906,166.55763244628906,0,false
273,188,189,84136,3,16432,201.05180358886719,201.05180358886719,0,false
274,200,201,84711,2,17007,166.05282592773438,166.05282592773438,0,false
275,197,198,84677,1,16973,1402.890625,1440.254638671875,37.364013671875,false
276,199,200,84700,1,16996,211.63626098632812,211.63626098632812,0,false
277,199,200,84706,1,17002,171.89523315429688,171.89523315429688,0,false
278,197,198,84704,1,17000,177.920654296875,177.920654296875,0,false
279,196,197,84700,1,16996,211.63626098632812,211.63626098632812,0,false
280,194,195,84149,4,16445,199.93708801269531,199.93708801269531,0,false
281,198,199,84152,4,16448,213.85627746582031,213.85627746582031,0,false
282,194,195,84151,4,16447,205.09544372558594,205.09544372558594,0,false
283,188,189,84132,4,16428,257.94308471679688,257.94308471679688,0,false
284,189,190,84677,2,16973,1127.7802734375,1216.6832275390625,88.9029541015625,false
285,197,198,84703,2,16999,179.57609558105469,179.57609558105469,0,false
286,197,198,84707,1,17003,170.42758178710938,170.42758178710938,0,false
287,181,182,84132,4,16428,257.94308471679688,257.94308471679688,0,false
288,190,191,84145,4,16441,200.09696960449219,200.09696960449219,0,false
289,193,194,84145,4,16441,200.09696960449219,200.09696960449219,0,false
290,200,201,84713,1,17009,172.16026306152344,172.16026306152344,0,false
291,198,199,84710,2,17006,165.88113403320312,165.88113403320312,0,false
292,195,196,84131,4,16427,220.88490295410156,220.88490295410156,0,false
293,185,186,84139,3,16435,202.00167846679688,202.00167846679688,0,false
294,196,197,84150,4,16446,201.81407165527344,201.81407165527344,0,false
295,189,190,84145,4,16441,200.09696960449219,200.09696960449219,0,false
296,190,191,84142,3,16438,201.95980834960938,201.95980834960938,0,false
297,183,184,84136,4,16432,201.35389709472656,201.35389709472656,0,false
298,200,201,84711,1,17007,171.29556274414062,171.29556274414062,0,false
299,188,189,84135,4,16431,202.06367492675781,202.06367492675781,0,false
300,189,190,84138,3,16434,201.57673645019531,201.57673645019531,0,false
301,187,188,84678,1,16974,1184.9124755859375,1262.5372314453125,77.624755859375,false
302,197,198,84700,2,16996,201.78329467773438,201.78329467773438,0,false
303,197,198,84703,1,16999,182.79682922363281,182.79682922363281,0,false
