event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
39,188,189,84131,4,16427,220.88490295410156,220.88490295410156,0,false
40,186,187,84138,3,16434,201.57673645019531,201.57673645019531,0,false
41,186,187,84137,3,16433,201.17720031738281,201.17720031738281,0,false
42,196,197,84130,4,16426,150.66653442382812,150.66653442382812,0,false
43,186,187,84130,4,16426,150.66653442382812,150.66653442382812,0,false
44,186,187,84136,4,16432,201.35389709472656,201.35389709472656,0,false
45,185,186,84137,3,16433,201.17720031738281,201.17720031738281,0,false
46,190,191,84130,4,16426,150.66653442382812,150.66653442382812,0,false
47,198,199,84131,3,16427,232.453857421875,232.453857421875,0,false
48,188,189,84140,4,16436,201.89346313476562,201.89346313476562,0,false
49,186,187,84138,4,16434,201.40493774414062,201.40493774414062,0,false
50,188,189,84140,3,16436,202.16455078125,202.16455078125,0,false
51,192,193,84677,1,16973,1019.4296875,1116.45703125,97.02734375,false
52,188,189,84141,3,16437,202.16667175292969,202.16667175292969,0,false
53,193,194,84677,1,16973,1116.45703125,1204.7142333984375,88.2572021484375,false
54,187,188,84131,3,16427,232.453857421875,232.453857421875,0,false
55,189,190,84142,4,16438,201.68635559082031,201.68635559082031,0,false
56,188,189,84139,4,16435,201.52493286132812,201.52493286132812,0,false
57,183,184,84135,3,16431,202.22296142578125,202.22296142578125,0,false
58,184,185,84131,4,16427,220.88490295410156,220.88490295410156,0,false
59,189,190,84142,3,16438,201.95980834960938,201.95980834960938,0,false
60,186,187,84136,3,16432,201.05180358886719,201.05180358886719,0,false
61,199,200,84131,3,16427,232.453857421875,232.453857421875,0,false
62,182,183,84132,4,16428,257.94308471679688,257.94308471679688,0,false
63,198,199,84130,4,16426,150.66653442382812,150.66653442382812,0,false
64,189,190,84143,3,16439,201.6207275390625,201.6207275390625,0,false
65,189,190,84141,4,16437,201.84580993652344,201.84580993652344,0,false
66,191,192,84145,4,16441,200.09696960449219,200.09696960449219,0,false
