element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
169,1.800863516435233e-11,3.246939840864569e-14,1.8041104562760976e-11
170,9.039171171067172e-12,1.2236467557712496e-14,9.051407638624884e-12
171,5.736430734964358e-12,6.284111880189936e-15,5.742714846844548e-12
172,2.7302060853093556e-11,5.997378606542843e-14,2.7362034639158984e-11
173,3.624840978582866e-11,6.219699929979488e-14,3.631060678512846e-11
174,4.153901776248361e-11,5.939453316736378e-14,4.1598412295650977e-11
175,3.328353061717408e-11,4.410845883881943e-14,3.33276390760129e-11
176,1.5166260955817616e-11,2.0585702343401762e-14,1.5186846658161017e-11
177,2.2898077545317398e-11,2.215138038633503e-14,2.2920228925703733e-11
178,5.2466910651714215e-11,7.182344206007599e-14,5.253873409377429e-11
179,2.6202443711622572e-11,3.046692108414136e-14,2.6232910632706714e-11
180,2.7777067066800722e-11,3.713127756882425e-14,2.7814198344369547e-11
181,3.769041373203124e-11,4.2850142256758764e-14,3.7733263874288004e-11
182,2.956433345476166e-11,2.848526939862149e-14,2.959281872416028e-11
183,8.858350388251797e-11,6.218211202586111e-14,8.864568599454383e-11
184,8.690079636241342e-11,5.636088491302837e-14,8.695715724732644e-11
185,1.0279993651769559e-10,6.308302290938661e-14,1.0286301954060497e-10
186,9.659180506339669e-11,4.865629730031121e-14,9.6640461360697e-11
187,1.0692099987085092e-10,4.714227778102378e-14,1.0696814214863194e-10
188,9.961179575144577e-11,3.7562942088640646e-14,9.96493586935344e-11
189,1.724227586074922e-11,8.149029002716738e-14,1.7323766150776386e-11
190,8.045641918386555e-12,6.385966970861356e-14,8.109501588095168e-12
191,2.2753750973205002e-12,1.6399548221977145e-14,2.2917746455424775e-12
192,1.373792098329241e-12,1.3689051097165322e-15,1.3751610034389575e-12
193,8.293811765176975e-13,2.295385668448683e-15,8.316765621861462e-13
194,1.7324455788795448e-12,5.498990685116669e-16,1.7329954779480564e-12
195,5.117132155222008e-12,1.8924867212270557e-15,5.119024641943235e-12
196,1.725386480677793e-12,5.461690104841757e-16,1.7259326496882771e-12
197,1.8488089063823288e-12,5.828850820688938e-16,1.8493917914643975e-12
198,1.284479243821563e-11,6.465558023271096e-15,1.28512579962389e-11
199,4.796191460913271e-12,1.7234102170342949e-15,4.797914871130305e-12
200,1.4348598048096957e-12,4.164999917167762e-16,1.4352763048014125e-12
201,2.662047776674785e-12,1.0365347554819907e-15,2.663084311430267e-12
202,1.387386231241051e-11,6.662215132435391e-14,1.3940484463734865e-11
203,6.421220321019355e-12,5.194923404820753e-14,6.473169555067562e-12
204,6.22851455429234e-12,3.50928080884633e-14,6.2636073623808035e-12
205,6.536602479553776e-12,3.677976924636439e-14,6.573382248800141e-12
206,4.471906458770887e-12,1.1389954141136183e-14,4.483296412912024e-12
207,7.872757220786485e-12,5.556257230902582e-15,7.878313478017388e-12
208,8.750498062813325e-12,5.2466117904596085e-15,8.755744674603784e-12
209,2.942639438083205e-11,1.3534910730998966e-14,2.943992929156305e-11
210,8.51030990319036e-12,6.232559937710812e-14,8.572635502567469e-12
211,4.818242434314234e-12,2.9385012612360665e-14,4.8476274469265944e-12
212,7.180788458211957e-12,4.529783258151093e-14,7.2260862907934675e-12
213,6.892342056857946e-12,2.3552857322903457e-14,6.915894914180849e-12
214,6.3720863896262356e-12,3.052767215228579e-14,6.4026140617785214e-12
215,4.8975011330193455e-12,8.377739564308261e-15,4.9058788725836534e-12
216,3.739775661240569e-11,2.4774848636458042e-14,3.742253146104215e-11
217,5.69272193123747e-12,6.138674705497983e-14,5.754108678292449e-12
218,5.041853651626378e-12,4.186364656062413e-14,5.0837172981870016e-12
219,3.699603569040485e-12,2.844506530513482e-14,3.72804863434562e-12
220,3.5279436380451105e-12,2.4469288952976255e-14,3.5524129269980866e-12
221,6.338661397663454e-12,3.481916442160315e-14,6.373480562085058e-12
222,4.038333765117091e-12,2.453961963278485e-14,4.062873384749876e-12
223,1.0529126655661317e-11,2.2405930337792695e-14,1.055153258599911e-11
224,8.701401641167161e-12,1.389748530256916e-14,8.71529912646973e-12
225,4.540114679269282e-11,3.584793186934307e-14,4.543699472456216e-11
226,1.5834249760991837e-12,4.0225081586924496e-14,1.6236500576861082e-12
227,1.930710534273492e-12,3.704874800587112e-14,1.9677592822793627e-12
228,6.689813807011282e-13,1.7485307220935676e-14,6.864666879220639e-13
229,2.41747968019639e-12,2.0487405021822392e-14,2.4379670852182125e-12
230,6.9060988831732694e-12,3.7091942237136814e-14,6.943190825410406e-12
231,6.0797740567456825e-12,3.8235309154707515e-14,6.11800936590039e-12
232,1.0878916880228212e-11,2.9307191062322957e-14,1.0908224071290535e-11
233,1.2597566259827647e-11,2.7736394699374155e-14,1.262530265452702e-11
234,4.0328063690979836e-11,3.394706460355863e-14,4.0362010755583394e-11
235,8.757390574713417e-14,8.399622771106722e-15,9.59735285182409e-14
236,7.628110547229238e-14,8.195436883628931e-15,8.44765423559213e-14
