element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3159,4.8106081068629174e-08,4.810608164646493e-08,4.9821561392251955e-08,1.2011698703506713e-08
3160,6.555304828049387e-08,6.555304882075578e-08,6.809895989305948e-08,8.24159856383989e-09
3161,4.382522207316662e-08,4.382522074171814e-08,4.532564949893224e-08,3.0380872464100196e-08
3162,5.885316080859004e-08,5.885316174524965e-08,6.115613970843964e-08,1.5915196057013182e-08
3163,1.9842570918957588e-08,1.984257177059353e-08,2.0240184474015602e-08,4.291963524241736e-08
3164,2.011909938641412e-08,2.0119100177489942e-08,2.0521820628447286e-08,3.931964234341023e-08
3165,2.6513219705497124e-08,2.6513219492726918e-08,2.7039719451169286e-08,8.025061031049927e-09
3166,3.851983012343939e-08,3.851982997493504e-08,3.9289893830346284e-08,3.855270137955661e-09
3167,3.8750472637545054e-08,3.875047186046552e-08,4.002805764084776e-08,2.005342078834079e-08
3168,3.260418607604764e-08,3.2604186771086536e-08,3.3259184701926594e-08,2.1317473684878035e-08
3169,3.326263977452202e-08,3.3262640254414554e-08,3.3921948854811755e-08,1.4427373409140242e-08
3170,4.101965896814571e-08,4.101965836150695e-08,4.183707980017391e-08,1.4788976272609337e-08
3171,3.4675797252859456e-08,3.4675797283996373e-08,3.577928131723423e-08,8.979438209067117e-10
3172,3.198125071585909e-08,3.19812507061227e-08,3.295433563937736e-08,3.044406346795504e-10
3173,2.4324729303987642e-08,2.4324729315527562e-08,2.4817592294366802e-08,4.744110602597533e-10
3174,3.811362495955621e-08,3.811362488324856e-08,3.910474777123333e-08,2.002109477044131e-09
3175,2.216709035352522e-08,2.2167090967587684e-08,2.261238003162285e-08,2.7701535814532756e-08
3176,1.9944145028435117e-08,1.994414474992247e-08,2.0347073524457407e-08,1.3964632137300039e-08
3177,3.00105949620333e-08,3.0010595129885954e-08,3.076179969866846e-08,5.5931131603054194e-09
3178,3.2582117662102554e-08,3.2582117629044804e-08,3.343415302466727e-08,1.0145979689032088e-09
3179,2.9819910764903874e-08,2.981991052530883e-08,3.062465761786154e-08,8.034733686974835e-09
3180,2.3192589597719214e-08,2.319258920980716e-08,2.3658783353908054e-08,1.672568965050443e-08
3181,2.3650337537415093e-08,2.365033776164689e-08,2.4130631245415466e-08,9.481124475089114e-09
3182,3.415124449920666e-08,3.415124392533588e-08,3.483229771636764e-08,1.6803802786118966e-08
3183,2.4676010336371555e-08,2.467600993940831e-08,2.5270654873115504e-08,1.6087010798152685e-08
3184,2.028301026875071e-08,2.028300989302109e-08,2.0695174099611366e-08,1.8524351957833847e-08
3185,2.4123820687378884e-08,2.4123821900957434e-08,2.4608162509960272e-08,5.0306230730069365e-08
3186,2.474166022561385e-08,2.4741660623744033e-08,2.532882643553771e-08,1.609148987888924e-08
3187,3.1892619613235245e-08,3.1892620241836666e-08,3.2873885655231085e-08,1.9709933400147173e-08
3188,1.949712225036945e-08,1.9497122197368052e-08,1.9893851698253273e-08,2.718421649378739e-09
3189,2.3697965466539054e-08,2.369796494482639e-08,2.41743133698761e-08,2.2015082537329914e-08
3190,2.631234520470268e-08,2.6312345227378674e-08,2.689199987947125e-08,8.618006086346979e-10
3191,2.9604329398914746e-08,2.9604328883809355e-08,3.0266188196409915e-08,1.7399664247889435e-08
3192,3.000640911812734e-08,3.000640905298186e-08,3.062095787298458e-08,2.1710522704626176e-09
3193,3.449022000651054e-08,3.4490220199453314e-08,3.519891767158312e-08,5.594130023035293e-09
3194,2.583843919374409e-08,2.5838439386036017e-08,2.638004408643008e-08,7.442087526221394e-09
3195,2.3309433318110502e-08,2.3309433422135174e-08,2.378901438681322e-08,4.462771369590135e-09
3196,2.51160840489525e-08,2.511608422863785e-08,2.5641651052861546e-08,7.154194466529241e-09
3197,2.837658948892081e-08,2.83765902218937e-08,2.8960802805678135e-08,2.583019610302277e-08
3198,2.5296722823942997e-08,2.529672223004549e-08,2.5810817105205145e-08,2.34772508851329e-08
3199,3.3597604019097146e-08,3.359760376705952e-08,3.43698946279127e-08,7.501654717551203e-09
3200,2.5698572145462675e-08,2.569857185262912e-08,2.6238998237437675e-08,1.1394934789013054e-08
3201,2.3799072701252138e-08,2.3799072497964724e-08,2.4287290133791234e-08,8.541820805089244e-09
3202,2.5285719962185183e-08,2.5285720552873955e-08,2.5807438701323664e-08,2.3360567119601063e-08
3203,2.6152159736125907e-08,2.6152160140478343e-08,2.6705155476109318e-08,1.5461531045296932e-08
3204,2.6191314138306313e-08,2.6191314467855624e-08,2.6758073924346366e-08,1.2582389185199196e-08
3205,2.6423361680940914e-08,2.6423361260932513e-08,2.6985480075403747e-08,1.589534313312842e-08
3206,2.6059150263957096e-08,2.6059150679598866e-08,2.6618612100701594e-08,1.5949935420164086e-08
3207,3.971059636409885e-08,3.9710595792568514e-08,4.064130277722025e-08,1.4392388559150675e-08
3208,2.7066642610745727e-08,2.7066642838639693e-08,2.7646299394014565e-08,8.419735231413693e-09
3209,2.9501677347825495e-08,2.9501676741293216e-08,3.015471136088387e-08,2.0559247239564997e-08
3210,6.728991154671997e-08,6.728990963128299e-08,7.006485976840773e-08,2.8465440537275224e-08
3211,2.1175230143228586e-08,2.1175230087605408e-08,2.160066759292254e-08,2.6268039393075632e-09
3212,2.8050250328060423e-08,2.8050249671432892e-08,2.8613116652863753e-08,2.3408972228100536e-08
3213,2.476744756191674e-08,2.4767447746004055e-08,2.5267780179201163e-08,7.4326316037765836e-09
3214,4.9608510687057666e-08,4.960851022521062e-08,5.059242661581566e-08,9.309834893944986e-09
3215,1.8799639059259693e-08,1.8799639354298983e-08,1.9172223946544866e-08,1.569388033825253e-08
3216,2.991011305114303e-08,2.991011323856434e-08,3.080156970206344e-08,6.2661518914343025e-09
3217,3.197066859380509e-08,3.19706683381321e-08,3.282633358688677e-08,7.997111167257875e-09
3218,3.099385557008589e-08,3.0993854919024513e-08,3.1843871717509155e-08,2.1006143561815714e-08
3219,6.857191749573747e-08,6.857191697268122e-08,6.995218953424167e-08,7.62784928546606e-09
3220,1.1001629850960776e-07,1.1001629509411041e-07,1.151762939602083e-07,3.104537593006742e-08
3221,2.2067216397554614e-08,2.2067216585681267e-08,2.250591573333155e-08,8.525164563887958e-09
3222,7.951489726490561e-08,7.951489909874911e-08,8.299099963913136e-08,2.306289157432234e-08
3223,1.3878918389721953e-07,1.387891868963298e-07,1.4584965571231616e-07,2.160910603180614e-08
3224,1.7241808269545644e-07,1.724180850343816e-07,1.8091621845983246e-07,1.3565428202372285e-08
3225,5.153604902999669e-08,5.153605014860898e-08,5.254638127070562e-08,2.1705433132187023e-08
3226,4.92586730719048e-08,4.925867288993437e-08,5.1072278236103166e-08,3.6941805226565232e-09
3227,4.380500907647795e-08,4.38050093467365e-08,4.4667182541528946e-08,6.169580865150371e-09
