node,x,y,active_lower_bound,d_compatible,d_lb,bound_margin,residual_Kd_minus_f
5713,-0.475,0.375,False,0.00031052168373096965,0.0002988368245593749,1.1684859171594742e-05,3.308722450212111e-24
5714,-0.4625,0.375,True,0.0002991560346987764,0.0002991560346987764,0.0,2.0838645495087404e-09
5715,-0.45,0.375,False,0.0002289753954945995,0.00021180858140543496,1.7166814089164534e-05,2.481541837659083e-24
5716,-0.4375,0.375,False,0.00015952106468739035,0.00011158726039205594,4.793380429533441e-05,-8.271806125530277e-25
5717,-0.425,0.375,False,0.0001166150747201095,9.749195757793373e-05,1.9123117142175774e-05,1.6543612251060553e-24
5718,-0.4125,0.375,False,8.785366192516247e-05,8.116774887026931e-05,6.6859130548931614e-06,2.274746684520826e-24
5719,-0.4,0.375,True,7.336485976641069e-05,7.336485976641069e-05,0.0,9.475662137027282e-10
5720,-0.3875,0.375,True,4.974112914367867e-05,4.974112914367867e-05,0.0,4.0757708299714933e-10
5721,-0.375,0.375,False,3.397599052351773e-05,3.3457601230378575e-05,5.183892931391582e-07,-1.0339757656912846e-25
5722,-0.3625,0.375,True,3.1390116673500514e-05,3.1390116673500514e-05,0.0,2.170586735976542e-10
5723,-0.35,0.375,True,3.348749979160103e-05,3.348749979160103e-05,0.0,2.5837651206972393e-10
5724,-0.3375,0.375,True,4.0194406457871194e-05,4.0194406457871194e-05,0.0,3.6739449699441773e-10
5725,-0.325,0.375,False,4.891824180939857e-05,4.016528733182967e-05,8.752954477568902e-06,1.0339757656912846e-24
5726,-0.3125,0.375,False,7.397690563481138e-05,4.0150051077001664e-05,3.382685455780971e-05,6.203854594147708e-25
5727,-0.3,0.375,True,0.00011870341160137133,0.00011870341160137133,0.0,1.2960379455616422e-09
5728,-0.2875,0.375,False,0.00014467045597155767,0.00012014217156528141,2.452828440627626e-05,5.37667398159468e-24
5729,-0.275,0.375,False,0.0002003469769269394,0.00012101959351447936,7.932738341246003e-05,-4.963083675318166e-24
5730,-0.2625,0.375,True,0.0002915804243587149,0.0002915804243587149,0.0,2.606134456073706e-09
5731,-0.25,0.375,False,0.0003430970550002825,0.00029641733711761105,4.667971788267143e-05,-4.963083675318166e-24
5732,-0.2375,0.375,False,0.0004500577208154723,0.0004246159361090255,2.544178470644681e-05,-9.926167350636332e-24
5733,-0.22499999999999998,0.375,True,0.0005812820106321615,0.0005812820106321615,0.0,3.162332417143499e-09
5734,-0.21250000000000002,0.375,False,0.0006686765506423465,0.0005904406195727955,7.823593106955095e-05,6.617444900424222e-24
5735,-0.2,0.375,True,0.0008668665102060302,0.0008668665102060302,0.0,4.51872729816706e-09
5736,-0.1875,0.375,True,0.0010298949853508976,0.0010298949853508976,0.0,3.023104437974254e-09
5737,-0.175,0.375,False,0.0011921450305602975,0.0010410501560010102,0.00015109487455928724,-6.617444900424222e-24
5738,-0.16249999999999998,0.375,True,0.00144997032663756,0.00144997032663756,0.0,3.776160537644679e-09
5739,-0.15000000000000002,0.375,False,0.0016455312149919036,0.0016150364275954443,3.0494787396459283e-05,-2.6469779601696886e-23
5740,-0.1375,0.375,False,0.0019034990856523337,0.001843106440163804,6.039264548852964e-05,1.3234889800848443e-23
5741,-0.125,0.375,True,0.0022183399584550477,0.0022183399584550477,0.0,2.580147915739394e-09
5742,-0.11249999999999999,0.375,False,0.002501909051502617,0.0023217343090206318,0.00018017474248198514,-2.6469779601696886e-23
5743,-0.09999999999999998,0.375,True,0.0028463098062438416,0.0028463098062438416,0.0,6.885649479862849e-10
