node,x,y,d_F1,d_unconstrained,d_unconstrained_minus_F1,d_F3_minus_F1
153,0.38749999999999996,-0.4875,0.012844974486826807,0.0128068129581628,-3.8161528664006766e-05,3.129208935442017e-05
154,0.4,-0.4875,0.01292001619268728,0.01293339694045891,1.3380747771629675e-05,8.846972814223822e-05
155,0.4125,-0.4875,0.013028734666535497,0.013076668826467026,4.79341599315293e-05,0.0001282288989345355
156,0.42500000000000004,-0.4875,0.01330926754978122,0.013258181657219682,-5.108589256153789e-05,1.5241770994879958e-05
157,0.4375,-0.4875,0.013464268134851031,0.013436429392266573,-2.783874258445798e-05,4.7452803982977326e-05
158,0.44999999999999996,-0.4875,0.013557621414387868,0.013626861667701867,6.924025331399818e-05,0.0001636395210043596
159,0.4625,-0.4875,0.013854881937125136,0.013858116028496773,3.2340913716372155e-06,9.667468781625506e-05
160,0.475,-0.4875,0.014080382003856598,0.014047924419630313,-3.245758422628503e-05,0.00010475351791358785
161,0.48750000000000004,-0.4875,0.014109811780458729,0.014139565259318386,2.9753478859657206e-05,0.00027938106982364035
162,0.5,-0.4875,0.014095696401878256,0.014164409203355637,6.871280147738128e-05,0.0003946925333452849
163,-0.5,-0.475,0.0003323922417386824,0.000369062487939292,3.6670246200609636e-05,0.00010170317270857468
164,-0.4875,-0.475,0.00033235821878283613,0.0003542468522818146,2.1888633498978445e-05,7.451227921263527e-05
165,-0.475,-0.475,0.0003317649805963746,0.00032870278827144025,-3.062192324934372e-06,2.331511848943169e-05
166,-0.4625,-0.475,0.0002946925929525226,0.0002847130271953906,-9.979565757131973e-06,2.224453522509096e-06
167,-0.45,-0.475,0.00019857595914122975,0.0002229642969958516,2.4388337854621854e-05,3.160983794510175e-05
168,-0.4375,-0.475,0.00015381760990597912,0.00017006047550777542,1.6242865601796293e-05,2.0856122125171255e-05
169,-0.425,-0.475,0.00014359913401749093,0.0001297477135885881,-1.385142042890282e-05,-1.1137771230561902e-05
170,-0.4125,-0.475,8.984254589478296e-05,8.94752712455727e-05,-3.6727464921026715e-07,1.5080992564821022e-06
171,-0.4,-0.475,4.817021111072887e-05,5.6608251685842e-05,8.43804057511313e-06,9.984659514717528e-06
172,-0.3875,-0.475,4.1781021444936835e-05,3.814698959488859e-05,-3.6340318500482466e-06,-2.8434534123114802e-06
173,-0.375,-0.475,3.1915654234194186e-05,2.68801239383812e-05,-5.035530295812987e-06,-4.668773879255041e-06
174,-0.3625,-0.475,2.188430738186984e-05,2.1437553270538306e-05,-4.4675411133153524e-07,-2.0859206602552515e-07
175,-0.35,-0.475,2.0310504643173363e-05,2.4920060232006156e-05,4.609555588832793e-06,4.897924329817687e-06
176,-0.3375,-0.475,4.5210518019570404e-05,3.997016988541098e-05,-5.240348134159423e-06,-4.743338120642032e-06
177,-0.325,-0.475,7.323480580797892e-05,6.224271556814261e-05,-1.0992090239836307e-05,-9.994741108919011e-06
178,-0.3125,-0.475,7.98928011020564e-05,8.869419430825063e-05,8.801393206194234e-06,1.1291659379345013e-05
179,-0.3,-0.475,0.00013393313613256337,0.00013126091168344457,-2.6722244491188003e-06,4.872344904229258e-07
180,-0.2875,-0.475,0.0002154928395177309,0.00018705681099457245,-2.8436028523158455e-05,-2.4676773654996734e-05
181,-0.275,-0.475,0.00023876874475492016,0.00024277052625274647,4.001781497826309e-06,1.0817513666637533e-05
182,-0.2625,-0.475,0.00030823873190221403,0.00031737279559903404,9.134063696820006e-06,1.7802650478406358e-05
183,-0.25,-0.475,0.0004626226092822026,0.00041658114264270127,-4.604146663950132e-05,-3.8641733743123726e-05
184,-0.2375,-0.475,0.0005207810748417066,0.0005124211042230367,-8.359970618669957e-06,1.515886908365978e-06
185,-0.22499999999999998,-0.475,0.0005899204250950703,0.0006235612887277254,3.364086363265512e-05,4.8638660904243595e-05
