node,x,y,reconstructed_residual,forensic_residual,residual_error
143,0.26249999999999996,-0.4875,2.8431227979615628e-09,2.8431227979612894e-09,2.7338319244877565e-22
144,0.275,-0.4875,3.835956764128811e-09,3.835956764128875e-09,-6.369290716658313e-23
145,0.2875,-0.4875,-3.5201587133004327e-09,-3.5201587133004418e-09,9.098986738083304e-24
146,0.30000000000000004,-0.4875,-1.1392645790550154e-12,-1.139264579141249e-12,8.623357885865314e-23
147,0.3125,-0.4875,3.268493209015109e-09,3.2684932090146395e-09,4.694249976238432e-22
148,0.32499999999999996,-0.4875,-2.5946150036924126e-09,-2.5946150036922968e-09,-1.1580528575742387e-22
149,0.3375,-0.4875,-1.7836899783467658e-09,-1.7836899783467466e-09,-1.9231949241857893e-23
150,0.35,-0.4875,3.352484599026463e-09,3.352484599026598e-09,-1.3524403015242002e-22
151,0.36250000000000004,-0.4875,-1.1876865222596005e-09,-1.1876865222596176e-09,1.7163997710475324e-23
152,0.375,-0.4875,-4.269603277950699e-09,-4.26960327795063e-09,-6.86559908419013e-23
153,0.38749999999999996,-0.4875,5.591685643865858e-09,5.5916856438655736e-09,2.845501307182415e-22
154,0.4,-0.4875,-1.1244217648294015e-09,-1.1244217648293494e-09,-5.2112378590840744e-23
155,0.4125,-0.4875,-6.03737132425243e-09,-6.037371324252262e-09,-1.6791766434826462e-22
156,0.42500000000000004,-0.4875,5.857837035777735e-09,5.857837035777719e-09,1.5716431638507526e-23
157,0.4375,-0.4875,3.1639552627613562e-09,3.1639552627611135e-09,2.427775097843136e-22
158,0.44999999999999996,-0.4875,-7.958732275427618e-09,-7.958732275427665e-09,4.632211430296955e-23
159,0.4625,-0.4875,6.526203129691686e-10,6.526203129691439e-10,2.4712020800021702e-23
160,0.475,-0.4875,6.058761715220004e-09,6.058761715220081e-09,-7.692779696743157e-23
161,0.48750000000000004,-0.4875,-2.4607672957793125e-10,-2.46076729578042e-10,1.1073880450553658e-22
162,0.5,-0.4875,-1.462624941678692e-09,-1.4626249416786244e-09,-6.762201507621001e-23
163,-0.5,-0.475,-8.997407677133042e-10,-8.997407677133069e-10,2.68833699079734e-24
164,-0.4875,-0.475,-7.447219380867307e-10,-7.44721938086728e-10,-2.68833699079734e-24
165,-0.475,-0.475,1.2950546572784592e-09,1.2950546572784656e-09,-6.4106497472859645e-24
166,-0.4625,-0.475,1.9241826547397324e-09,1.9241826547397303e-09,2.0679515313825692e-24
167,-0.45,-0.475,-2.144526433895973e-09,-2.1445264338959804e-09,7.444625512977249e-24
168,-0.4375,-0.475,-1.4085699505054808e-09,-1.4085699505054793e-09,-1.4475660719677984e-24
169,-0.425,-0.475,1.9015393572999084e-09,1.901539357299907e-09,1.2407709188295415e-24
170,-0.4125,-0.475,-1.4718629062064065e-11,-1.4718629062066016e-11,1.9516292577422997e-24
171,-0.4,-0.475,-9.313003562781047e-10,-9.313003562781063e-10,1.6543612251060553e-24
172,-0.3875,-0.475,5.577942417320335e-10,5.577942417320342e-10,-6.203854594147708e-25
173,-0.375,-0.475,3.7474265968963206e-10,3.747426596896335e-10,-1.4475660719677984e-24
174,-0.3625,-0.475,-6.401621704552433e-11,-6.401621704552605e-11,1.7189847104617606e-24
175,-0.35,-0.475,-4.1940773580875474e-10,-4.194077358087544e-10,-3.618915179919496e-25
176,-0.3375,-0.475,3.5141266594611286e-10,3.5141266594611415e-10,-1.2924697071141057e-24
177,-0.325,-0.475,1.3006733898167406e-09,1.3006733898167413e-09,-6.203854594147708e-25
178,-0.3125,-0.475,-9.797249636344635e-10,-9.797249636344606e-10,-2.895132143935597e-24
179,-0.3,-0.475,-3.7336150302219546e-10,-3.7336150302219583e-10,3.618915179919496e-25
180,-0.2875,-0.475,3.071071018053212e-09,3.0710710180532096e-09,2.481541837659083e-24
