node,x,y,d_F1,d_compatible,d_compatible_minus_F1
257,-0.3375,-0.4625,2.2200347607575693e-05,4.348909249759642e-05,2.1288744890020725e-05
258,-0.325,-0.4625,8.290656256448356e-05,8.290656256448356e-05,0.0
259,-0.3125,-0.4625,8.352923426340169e-05,9.698283594692139e-05,1.3453601683519693e-05
260,-0.3,-0.4625,8.419441576993382e-05,0.00013934831484717814,5.5153899077244314e-05
261,-0.2875,-0.4625,0.00024062953599264398,0.00024062953599264398,0.0
262,-0.275,-0.4625,0.00024074666527507365,0.0002564452411896972,1.5698575914623524e-05
263,-0.2625,-0.4625,0.00024122507659213018,0.00032167078088887833,8.044570429674815e-05
264,-0.25,-0.4625,0.00043178051307637125,0.00043178051307637125,0.0
265,-0.2375,-0.4625,0.0005280567857546324,0.0005285896057528259,5.328199981935065e-07
266,-0.22499999999999998,-0.4625,0.0005293753243871765,0.000637103187003769,0.00010772786261659248
267,-0.21250000000000002,-0.4625,0.0007957518439689834,0.0008010118584819594,5.260014512975986e-06
268,-0.2,-0.4625,0.0009753518612232077,0.0009753518612232077,0.0
269,-0.1875,-0.4625,0.0009785471633304897,0.0010930490136071527,0.00011450185027666302
270,-0.175,-0.4625,0.0013080917646668719,0.0013135514828611508,5.459718194278981e-06
271,-0.16249999999999998,-0.4625,0.0016187947829847023,0.0016187947829847023,0.0
272,-0.15000000000000002,-0.4625,0.00162132955187725,0.001742670873989515,0.0001213413221122651
273,-0.1375,-0.4625,0.001993597487997432,0.001993597487997432,0.0
274,-0.125,-0.4625,0.002276879232831573,0.002276879232831573,0.0
275,-0.11249999999999999,-0.4625,0.002478088176846808,0.002537668151765474,5.957997491866634e-05
276,-0.09999999999999998,-0.4625,0.0028279237013259092,0.002839791489999877,1.1867788673967754e-05
277,-0.08750000000000002,-0.4625,0.003199071495242795,0.0032124690077562105,1.339751251341545e-05
278,-0.07500000000000001,-0.4625,0.0035232144272800657,0.0035432398502388573,2.0025422958791592e-05
279,-0.0625,-0.4625,0.003551008041400426,0.003874662094861063,0.000323654053460637
280,-0.04999999999999999,-0.4625,0.004242009877673286,0.004317187081155189,7.517720348190239e-05
