index,x0_mm,x1_mm,dx_mm
522,0.475,0.476,0.001
523,0.476,0.477,0.001
524,0.477,0.478,0.001
525,0.478,0.479,0.001
526,0.479,0.48,0.001
527,0.48,0.481,0.001
528,0.481,0.482,0.001
529,0.482,0.483,0.001
530,0.483,0.484,0.001
531,0.484,0.485,0.001
532,0.485,0.486,0.001
533,0.486,0.487,0.001
534,0.487,0.488,0.001
535,0.488,0.489,0.001
536,0.489,0.49,0.001
537,0.49,0.491,0.001
538,0.491,0.492,0.001
539,0.492,0.493,0.001
540,0.493,0.494,0.001
541,0.494,0.495,0.001
542,0.495,0.496,0.001
543,0.496,0.497,0.001
544,0.497,0.498,0.001
545,0.498,0.499,0.001
546,0.499,0.5,0.001
