node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
6250,0.16249999999999998,0.44999999999999996,True,0.010565663374630796,0.010565663374630795,0.010565663374630796,0.010565663374630796,0.010565663374630796,0.0,0.0
6251,0.17500000000000004,0.44999999999999996,True,0.01074120850436864,0.01074120850436864,0.010741208504368637,0.010741208504368643,0.010741208504368637,0.0,-1.734723475976807e-18
6252,0.1875,0.44999999999999996,True,0.010953408237099619,0.010953408237099619,0.010953408237099616,0.010953408237099616,0.010953408237099616,0.0,-3.469446951953614e-18
6253,0.19999999999999996,0.44999999999999996,True,0.011180800466107092,0.011180800466107092,0.011180800466107092,0.011180800466107092,0.011180800466107092,0.0,0.0
6254,0.21250000000000002,0.44999999999999996,True,0.011307196368536644,0.011307196368536644,0.011307196368536644,0.011307196368536644,0.011307196368536644,0.0,0.0
6255,0.22499999999999998,0.44999999999999996,True,0.01146371377694819,0.01146371377694819,0.01146371377694819,0.01146371377694819,0.01146371377694819,0.0,0.0
6256,0.23750000000000004,0.44999999999999996,True,0.011619169862698248,0.011619169862698248,0.011619169862698248,0.011619169862698248,0.011619169862698248,0.0,0.0
6257,0.25,0.44999999999999996,True,0.01171937902914111,0.011719379029141108,0.011719379029141108,0.011719379029141112,0.011719379029141108,0.0,-1.734723475976807e-18
6258,0.26249999999999996,0.44999999999999996,True,0.01184034851460361,0.011840348514603605,0.011840348514603605,0.011840348514603605,0.011840348514603605,0.0,-5.204170427930421e-18
6259,0.275,0.44999999999999996,True,0.011942969556858283,0.011942969556858285,0.011942969556858285,0.011942969556858285,0.011942969556858285,0.0,1.734723475976807e-18
6260,0.2875,0.44999999999999996,True,0.012031852374711188,0.012031852374711188,0.012031852374711188,0.012031852374711188,0.012031852374711188,0.0,0.0
6261,0.30000000000000004,0.44999999999999996,True,0.012132745867495609,0.012132745867495609,0.012132745867495609,0.012132745867495609,0.012132745867495609,0.0,0.0
6262,0.3125,0.44999999999999996,True,0.012214271626297134,0.012214271626297134,0.012214271626297134,0.012214271626297138,0.012214271626297134,0.0,0.0
6263,0.32499999999999996,0.44999999999999996,True,0.012292853898764295,0.012292853898764293,0.012292853898764295,0.012292853898764293,0.012292853898764295,0.0,0.0
6264,0.3375,0.44999999999999996,True,0.012407150868031817,0.012407150868031815,0.012407150868031817,0.012407150868031817,0.012407150868031817,0.0,0.0
6265,0.35,0.44999999999999996,True,0.012468473326687626,0.012468473326687624,0.012468473326687626,0.012468473326687629,0.012468473326687626,0.0,0.0
6266,0.36250000000000004,0.44999999999999996,True,0.012566343169467212,0.012566343169467213,0.012566343169467212,0.012566343169467212,0.012566343169467212,0.0,0.0
6267,0.375,0.44999999999999996,True,0.012667624464071502,0.0126676244640715,0.012667624464071504,0.012667624464071502,0.012667624464071504,0.0,1.734723475976807e-18
6268,0.38749999999999996,0.44999999999999996,True,0.01276505366405965,0.012765053664059648,0.012765053664059648,0.01276505366405965,0.012765053664059648,0.0,-1.734723475976807e-18
6269,0.4,0.44999999999999996,True,0.012865129087396968,0.01286512908739697,0.01286512908739697,0.01286512908739697,0.01286512908739697,0.0,1.734723475976807e-18
6270,0.4125,0.44999999999999996,True,0.013047259568652695,0.013047259568652693,0.013047259568652693,0.013047259568652693,0.013047259568652693,0.0,-1.734723475976807e-18
6271,0.42500000000000004,0.44999999999999996,True,0.013374660104325526,0.013374660104325526,0.013374660104325527,0.01337466010432553,0.013374660104325527,0.0,1.734723475976807e-18
6272,0.4375,0.44999999999999996,True,0.013392176618320886,0.013392176618320888,0.013392176618320886,0.013392176618320888,0.013392176618320886,0.0,0.0
6273,0.44999999999999996,0.44999999999999996,True,0.01353944750746449,0.01353944750746449,0.01353944750746449,0.013539447507464487,0.01353944750746449,0.0,0.0
6274,0.4625,0.44999999999999996,True,0.013776424042204239,0.013776424042204239,0.01377642404220424,0.01377642404220424,0.01377642404220424,0.0,1.734723475976807e-18
6275,0.475,0.44999999999999996,True,0.01397444892896324,0.013974448928963237,0.013974448928963237,0.01397444892896324,0.013974448928963237,0.0,-3.469446951953614e-18
6276,0.48750000000000004,0.44999999999999996,True,0.014048458865199911,0.014048458865199915,0.014048458865199915,0.014048458865199911,0.014048458865199915,0.0,3.469446951953614e-18
6277,0.5,0.44999999999999996,True,0.014066203398354906,0.0140662033983549,0.014066203398354902,0.014066203398354904,0.014066203398354902,0.0,-3.469446951953614e-18
6278,-0.5,0.4625,True,0.00038496739063199567,0.00038496739063199567,0.0003849673906319957,0.0003849673906319958,0.0003849673906319957,0.0,5.421010862427522e-20
6279,-0.4875,0.4625,True,0.0003759208564200387,0.0003759208564200387,0.0003759208564200387,0.0003759208564200387,0.0003759208564200387,0.0,0.0
6280,-0.475,0.4625,True,0.00035679566825528696,0.00035679566825528707,0.00035679566825528707,0.00035679566825528707,0.00035679566825528707,0.0,1.0842021724855044e-19
6281,-0.4625,0.4625,True,0.0002918888846108673,0.0002918888846108673,0.00029188888461086727,0.00029188888461086727,0.00029188888461086727,0.0,-5.421010862427522e-20
6282,-0.45,0.4625,True,0.000225212434289482,0.000225212434289482,0.000225212434289482,0.000225212434289482,0.000225212434289482,0.0,0.0
6283,-0.4375,0.4625,True,0.0001871432829247707,0.00018714328292477065,0.0001871432829247707,0.0001871432829247707,0.0001871432829247707,0.0,0.0
