frame_tag,step,frame_index,element,integration_point,odb_integration_point,uel_integration_point,expected_sdv15,odb_sdv15,sdv15_error,expected_sdv16,odb_sdv16,sdv16_error,odb_sdv12,odb_sdv13
F0_ingested,INGEST_TRANSFERRED_STATE,1,17,3,4,3,0.00019225913887465523,0.00019225913887465523,0.0,1.5896727095770482e-05,1.5896727095770482e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,17,4,3,4,0.0001503767537605619,0.0001503767537605619,0.0,1.2033067780140604e-05,1.2033067780140604e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,18,1,1,1,0.00021287715370580008,0.00021287715370580008,0.0,1.653207315950107e-05,1.653207315950107e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,18,2,2,2,0.00026129729234023434,0.00026129729234023434,0.0,1.7662635381679035e-05,1.7662635381679035e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,18,3,4,3,0.0002463137479121834,0.0002463137479121834,0.0,1.8839383057815885e-05,1.8839383057815885e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,18,4,3,4,0.00021796537898185152,0.00021796537898185152,0.0,1.777812815003395e-05,1.777812815003395e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,19,1,1,1,0.0002901105746042321,0.00029011057460423203,-5.421010862427522e-20,2.3741540163194198e-05,2.3741540163194198e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,19,2,2,2,0.0003204097870478629,0.0003204097870478628,-5.421010862427522e-20,2.6443415696140268e-05,2.6443415696140268e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,19,3,4,3,0.00030336594522376904,0.00030336594522376904,0.0,2.459327183883261e-05,2.459327183883261e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,19,4,3,4,0.0002691967606698658,0.0002691967606698658,0.0,2.1599166547881827e-05,2.1599166547881827e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,20,1,1,1,0.00035175867833374847,0.0003517586783337484,-5.421010862427522e-20,2.9603088030570363e-05,2.9603088030570363e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,20,2,2,2,0.0004071062296441104,0.0004071062296441104,0.0,3.460289832764288e-05,3.460289832764288e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,20,3,4,3,0.0004181079021543757,0.0004181079021543757,0.0,3.5691672452720685e-05,3.5691672452720685e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,20,4,3,4,0.0003432665653285401,0.0003432665653285401,0.0,2.8756769551840106e-05,2.8756769551840106e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,21,1,1,1,0.00043835735970344954,0.00043835735970344954,0.0,3.774208908243852e-05,3.774208908243852e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,21,2,2,2,0.00046838948350914504,0.00046838948350914504,0.0,4.043057304843925e-05,4.043057304843925e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,21,3,4,3,0.0004907546596154464,0.0004907546596154464,0.0,4.2688726139924816e-05,4.2688726139924816e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,21,4,3,4,0.00045762721791175754,0.00045762721791175754,0.0,3.977786393246081e-05,3.977786393246081e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,22,1,1,1,0.0005150731139742001,0.0005150731139742001,0.0,5.089639817568226e-05,5.089639817568226e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,22,2,2,2,0.0006125830404808051,0.0006125830404808051,0.0,5.403719172563277e-05,5.403719172563277e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,22,3,4,3,0.0005924331911856173,0.0005924331911856173,0.0,5.0785689820378684e-05,5.0785689820378684e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,22,4,3,4,0.0005268758112890686,0.0005268758112890686,0.0,4.767270710711701e-05,4.767270710711701e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,23,1,1,1,0.0006779113174715898,0.0006779113174715898,0.0,5.8099842969775066e-05,5.8099842969775066e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,23,2,2,2,0.0007588815628747414,0.0007588815628747414,0.0,6.531955481981522e-05,6.531955481981522e-05,0.0,0.0,0.0
