element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
76,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
76,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
76,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
77,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
77,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
77,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
77,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
78,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
78,2,2,2,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
78,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
78,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
79,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
79,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
79,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
79,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
80,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
80,2,2,2,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
80,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
80,4,3,4,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
81,1,1,1,F0_ingested,F1_equilibrated,0.0,5.4039390919471926e-06
81,2,2,2,F0_ingested,F1_equilibrated,0.0,1.1513544864441417e-06
81,3,4,3,F0_ingested,F1_equilibrated,0.0,1.149058332274651e-06
81,4,3,4,F0_ingested,F1_equilibrated,5.421010862427522e-20,5.397994300100705e-06
82,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
82,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
82,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
82,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
83,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
83,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
83,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
83,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
84,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
84,2,2,2,F0_ingested,F1_equilibrated,2.710505431213761e-20,0.0
84,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
84,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
85,1,1,1,F0_ingested,F1_equilibrated,2.710505431213761e-20,0.0
85,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
85,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
85,4,3,4,F0_ingested,F1_equilibrated,-2.710505431213761e-20,0.0
86,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
86,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
86,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
86,4,3,4,F0_ingested,F1_equilibrated,-2.710505431213761e-20,0.0
87,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
87,2,2,2,F0_ingested,F1_equilibrated,1.3552527156068805e-20,0.0
87,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
87,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
88,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
88,2,2,2,F0_ingested,F1_equilibrated,1.3552527156068805e-20,0.0
88,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
88,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
89,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
89,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
89,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
89,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
90,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
90,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
90,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
90,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
91,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
91,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
91,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
91,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
92,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
92,2,2,2,F0_ingested,F1_equilibrated,-3.3881317890172014e-21,0.0
92,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
92,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
93,1,1,1,F0_ingested,F1_equilibrated,-3.3881317890172014e-21,0.0
93,2,2,2,F0_ingested,F1_equilibrated,6.776263578034403e-21,0.0
93,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
93,4,3,4,F0_ingested,F1_equilibrated,-3.3881317890172014e-21,0.0
94,1,1,1,F0_ingested,F1_equilibrated,6.776263578034403e-21,0.0
94,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
94,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
94,4,3,4,F0_ingested,F1_equilibrated,1.3552527156068805e-20,0.0
95,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
95,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
95,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
95,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
96,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
96,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
96,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
96,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
97,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
97,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
97,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
97,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
98,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
98,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
98,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
98,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
99,1,1,1,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
99,2,2,2,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
99,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
