node,x,y,F1_phase_residual,F1_phase_residual_abs
4957,0.19999999999999996,0.25,-1.0674645580763472e-09,1.0674645580763472e-09
4958,0.21250000000000002,0.25,1.0905268904779234e-09,1.0905268904779234e-09
4959,0.22499999999999998,0.25,4.617298841369643e-10,4.617298841369643e-10
4960,0.23750000000000004,0.25,-2.696234486300768e-09,2.696234486300768e-09
4961,0.25,0.25,1.410735823311602e-09,1.410735823311602e-09
4962,0.26249999999999996,0.25,-4.716808968321084e-10,4.716808968321084e-10
4963,0.275,0.25,-1.7301591191151981e-09,1.7301591191151981e-09
4964,0.2875,0.25,4.5209549985869163e-10,4.5209549985869163e-10
4965,0.30000000000000004,0.25,-1.8159279533607125e-09,1.8159279533607125e-09
4966,0.3125,0.25,1.1897770983757212e-09,1.1897770983757212e-09
4967,0.32499999999999996,0.25,-5.600657987233005e-09,5.600657987233005e-09
4968,0.3375,0.25,3.4132414217604184e-09,3.4132414217604184e-09
4969,0.35,0.25,-7.534250721968508e-09,7.534250721968508e-09
4970,0.36250000000000004,0.25,9.956395346010733e-10,9.956395346010733e-10
4971,0.375,0.25,-8.158141316786586e-09,8.158141316786586e-09
4972,0.38749999999999996,0.25,1.3936602474150933e-09,1.3936602474150933e-09
4973,0.4,0.25,8.034967689919132e-09,8.034967689919132e-09
4974,0.4125,0.25,4.932558671153234e-10,4.932558671153234e-10
4975,0.42500000000000004,0.25,8.749615625610723e-09,8.749615625610723e-09
4976,0.4375,0.25,7.182210173547648e-09,7.182210173547648e-09
4977,0.44999999999999996,0.25,4.926312162332438e-09,4.926312162332438e-09
4978,0.4625,0.25,5.350692224930796e-09,5.350692224930796e-09
4979,0.475,0.25,9.101731024509592e-10,9.101731024509592e-10
4980,0.48750000000000004,0.25,1.0103684184391374e-09,1.0103684184391374e-09
4981,0.5,0.25,5.394208912057017e-09,5.394208912057017e-09
4982,-0.5,0.26249999999999996,-4.976419842654877e-10,4.976419842654877e-10
4983,-0.4875,0.26249999999999996,1.5260282686973237e-10,1.5260282686973237e-10
4984,-0.475,0.26249999999999996,1.2661709511116452e-09,1.2661709511116452e-09
4985,-0.4625,0.26249999999999996,6.442460039629024e-10,6.442460039629024e-10
4986,-0.45,0.26249999999999996,-7.302078029111263e-10,7.302078029111263e-10
4987,-0.4375,0.26249999999999996,6.591398083599268e-10,6.591398083599268e-10
