node,x,y,F1_d,F3_d,F3_minus_F1_d,F1_phase_residual
671,-0.22499999999999998,-0.4,0.0005031458706140413,0.0005744829671708437,7.133709655680236e-05,-2.0505693436486096e-09
672,-0.21250000000000002,-0.4,0.0006029994368081677,0.000715047027228182,0.0001120475904200143,-9.35150917670468e-09
673,-0.2,-0.4,0.0009664533803422644,0.0008907844716556037,-7.566890868666073e-05,1.1948230665105215e-08
674,-0.1875,-0.4,0.0010864617216312978,0.0010495306326285829,-3.693108900271495e-05,4.293674285437021e-09
675,-0.175,-0.4,0.0011357976477775586,0.001214099849162288,7.830220138472935e-05,-6.236963519592643e-09
676,-0.16249999999999998,-0.4,0.001375794526054304,0.0014201722890914681,4.437776303716423e-05,-6.278846694102269e-10
677,-0.15000000000000002,-0.4,0.0016566075232163115,0.0016512352315295362,-5.3722916867752265e-06,1.2635007905575117e-08
678,-0.1375,-0.4,0.0017385253969524088,0.00190200860210904,0.00016348320515663134,-8.649050077408346e-09
679,-0.125,-0.4,0.002153604062276055,0.002187623370599427,3.401930832337219e-05,6.323917284824841e-09
680,-0.11249999999999999,-0.4,0.002484771565634557,0.0024945157523223486,9.744186687791426e-06,1.1271256843435659e-08
681,-0.09999999999999998,-0.4,0.0024926707737642174,0.0028245595314584566,0.0003318887576942392,-1.4055874375394098e-08
682,-0.08750000000000002,-0.4,0.0025068779009132913,0.0032076987585308667,0.0007008208576175755,-7.091312597231806e-08
683,-0.07500000000000001,-0.4,0.004061572798893853,0.003663753629305086,-0.0003978191695887673,5.38544491251983e-08
684,-0.0625,-0.4,0.004178774781745175,0.004037978385634935,-0.00014079639611024042,1.1125899698085407e-08
685,-0.04999999999999999,-0.4,0.004405814300990413,0.004384602228845764,-2.121207214464925e-05,9.465025260099867e-09
686,-0.03749999999999998,-0.4,0.004654261994158297,0.004785118827292413,0.0001308568331341159,-5.944322925663236e-09
687,-0.025000000000000022,-0.4,0.005265096622039148,0.00521815051212598,-4.6946109913167944e-05,1.5174154078219956e-08
688,-0.012500000000000011,-0.4,0.005436628893054354,0.005635679899256179,0.00019905100620182508,-1.1200470837063634e-08
689,0.0,-0.4,0.0057986236154675365,0.006072044809038012,0.0002734211935704759,-2.2954404386053654e-08
690,0.012499999999999956,-0.4,0.0066662934644812835,0.006522715705791385,-0.00014357775868989887,3.148956369948414e-08
691,0.025000000000000022,-0.4,0.006713556243883078,0.006952307122017463,0.00023875087813438577,-2.0553716808968754e-08
692,0.03749999999999998,-0.4,0.007374653254125167,0.0073857220654620324,1.1068811336865242e-05,1.1235061304376825e-08
693,0.050000000000000044,-0.4,0.007856656722539334,0.007818783553363923,-3.787316917541056e-05,1.841028052103787e-08
694,0.0625,-0.4,0.007907499932823869,0.008222928416175546,0.00031542848335167767,-2.7845315822139115e-08
695,0.07499999999999996,-0.4,0.008866657228206589,0.008641653214031729,-0.00022500401417486007,4.383841023788704e-08
696,0.08750000000000002,-0.4,0.008897957521066665,0.008997232009383406,9.92744883167411e-05,-2.252706931274864e-09
697,0.09999999999999998,-0.4,0.009333499204010456,0.009360449092501994,2.6949888491537358e-05,8.649097410510441e-09
698,0.11250000000000004,-0.4,0.00971617911091941,0.009692234181601877,-2.394492931753235e-05,1.510756562885088e-08
699,0.125,-0.4,0.009985104446108587,0.00999410965328186,9.005207173272758e-06,1.2067468920366616e-08
700,0.13749999999999996,-0.4,0.010253680989278985,0.010283267085320947,2.9586096041962426e-05,1.4106414379860096e-08
701,0.15000000000000002,-0.4,0.010348391381052872,0.010550259934463345,0.00020186855341047284,-1.0734466565323069e-08
702,0.16249999999999998,-0.4,0.01063258764964349,0.010794046231384379,0.00016145858174088784,-6.62240583403046e-09
703,0.17500000000000004,-0.4,0.010804501791184645,0.01101319264453778,0.00020869085335313564,-1.286426834290803e-08
704,0.1875,-0.4,0.010996665039864508,0.011212839652846807,0.00021617461298229813,-1.3521863801310615e-08
705,0.19999999999999996,-0.4,0.011331836853533802,0.011387096822824771,5.525996929096888e-05,6.156567440950208e-09
706,0.21250000000000002,-0.4,0.011343774968176564,0.011542610888797183,0.0001988359206206193,-1.3099169110752554e-08
707,0.22499999999999998,-0.4,0.011710616187056327,0.011681686899411847,-2.892928764447987e-05,1.6130465551064447e-08
708,0.23750000000000004,-0.4,0.011703974167810712,0.011803411996096302,9.943782828559025e-05,-6.076994879816298e-10
709,0.25,-0.4,0.011705031710492374,0.011910794515788201,0.0002057628052958265,-1.2711884657739182e-08
710,0.26249999999999996,-0.4,0.011975991336894413,0.012005821759116042,2.9830422221628974e-05,8.471292780530924e-09
711,0.275,-0.4,0.01197097522751013,0.012090003993502307,0.00011902876599217613,-3.3432165169194414e-09
712,0.2875,-0.4,0.012055701114761846,0.012165517195877076,0.00010981608111522954,-1.6837005654042376e-09
713,0.30000000000000004,-0.4,0.012187448403967094,0.01223433561873186,4.6887214764765664e-05,5.5539373103491845e-09
714,0.3125,-0.4,0.012203778320757579,0.012298611922868734,9.48336021111551e-05,-6.745736463759766e-10
715,0.32499999999999996,-0.4,0.012265184433187365,0.012360567205749884,9.538277256251892e-05,1.1942279606030187e-09
716,0.3375,-0.4,0.012310709311247229,0.012422370338249819,0.00011166102700259015,-1.5820384107415308e-09
717,0.35,-0.4,0.012402502951606845,0.012486317371817515,8.381442021066984e-05,5.274605133124585e-10
718,0.36250000000000004,-0.4,0.012493899064614239,0.01255467941266579,6.0780348051550984e-05,3.909231295821355e-09
719,0.375,-0.4,0.012517716379304565,0.012629754670028302,0.00011203829072373682,-1.4104911866406755e-09
720,0.38749999999999996,-0.4,0.012651009934551635,0.012713983566183716,6.297363163208086e-05,2.9469739478291938e-09
721,0.4,-0.4,0.012782248154139055,0.012809980476526867,2.773232238781169e-05,7.447055346216937e-09
722,0.4125,-0.4,0.012824769747483903,0.012920516513875982,9.574676639207899e-05,5.835339128026512e-10
723,0.42500000000000004,-0.4,0.013004198796941882,0.013049507449495765,4.5308652553883305e-05,4.6359034601256535e-09
724,0.4375,-0.4,0.013204377061547024,0.013196988049431594,-7.3890121154301935e-06,1.2036208508096485e-08
725,0.44999999999999996,-0.4,0.013265274238644566,0.013359823695526565,9.454945688199858e-05,2.6118492623611112e-09
726,0.4625,-0.4,0.013470335127864469,0.013548327419816151,7.799229195168227e-05,5.078216891262211e-09
727,0.475,-0.4,0.013696578244149047,0.0137421121408685,4.5533896719452543e-05,1.168257791285524e-08
728,0.48750000000000004,-0.4,0.013710729253044403,0.013902224840633127,0.00019149558758872406,6.657798821698781e-10
729,0.5,-0.4,0.013651705299386897,0.013984037691726833,0.000332332392339936,-3.1700868869676404e-09
730,-0.5,-0.3875,0.00032654372038505445,0.00039843972849316856,7.189600810811412e-05,-7.689414531060743e-10
731,-0.4875,-0.3875,0.0003292947710452772,0.00037492530965540886,4.5630538610131656e-05,-7.903126771320603e-10
732,-0.475,-0.3875,0.0003228024899036048,0.00033036498602972877,7.562496126123982e-06,1.5025726082943101e-09
733,-0.4625,-0.3875,0.00026054322094822,0.00027180238086419947,1.1259159915979447e-05,3.6045963241582944e-10
734,-0.45,-0.3875,0.00018349877374136697,0.00021179329462819567,2.8294520886828703e-05,-2.2196031368986935e-09
735,-0.4375,-0.3875,0.000181231058054171,0.00016593631051406177,-1.529474754010922e-05,2.7524384655852565e-09
736,-0.425,-0.3875,0.0001123135236495699,0.00012068464066352611,8.371117013956215e-06,-6.791912346527737e-10
737,-0.4125,-0.3875,7.078589236258276e-05,8.442701997921062e-05,1.3641127616627864e-05,-1.013689528430888e-09
738,-0.4,-0.3875,6.550881258320074e-05,5.7932633008981014e-05,-7.576179574219728e-06,1.6557681366510875e-09
739,-0.3875,-0.3875,3.339594451983585e-05,3.8303214489556876e-05,4.907269969721023e-06,-4.849272210067678e-10
740,-0.375,-0.3875,2.3450992007088156e-05,2.5115445342015648e-05,1.664453334927492e-06,-1.2218711201469391e-10
741,-0.3625,-0.3875,2.089477233819718e-05,2.021240396753593e-05,-6.823683706612497e-07,1.9857995761451234e-11
742,-0.35,-0.3875,2.3356454653514687e-05,2.2013078503478614e-05,-1.3433761500360732e-06,2.4095285257665723e-10
743,-0.3375,-0.3875,2.5833024988446596e-05,2.991868868045303e-05,4.0856636920064355e-06,-2.2574788537129662e-10
744,-0.325,-0.3875,2.5858090615963316e-05,4.799752996790799e-05,2.2139439351944677e-05,-2.6819939424904145e-09
745,-0.3125,-0.3875,8.620856254322176e-05,7.446527418605991e-05,-1.1743288357161851e-05,2.162169185788812e-09
746,-0.3,-0.3875,8.606408280482849e-05,0.00010498657829555692,1.8922495490728437e-05,-2.1299295717307404e-09
747,-0.2875,-0.3875,0.00016611737135886127,0.00015262640328706677,-1.3490968071794502e-05,1.9120825297240552e-09
748,-0.275,-0.3875,0.00022088321816952564,0.00020648800492612684,-1.4395213243398796e-05,2.639311030199793e-09
749,-0.2625,-0.3875,0.00022050963569107581,0.00026881221174856345,4.830257605748764e-05,-5.032489220716955e-09
750,-0.25,-0.3875,0.00038861911425015105,0.0003561766585291019,-3.244245572104915e-05,5.413623511657269e-09
751,-0.2375,-0.3875,0.0004703211731131051,0.00044833381822696896,-2.1987354886136162e-05,5.546433360771053e-09
752,-0.22499999999999998,-0.3875,0.000524920235961523,0.0005567699848101873,3.184974884866431e-05,-3.906075787731253e-10
753,-0.21250000000000002,-0.3875,0.0006788823838769723,0.0006931179210947053,1.4235537217733001e-05,1.2253738558137176e-09
754,-0.2,-0.3875,0.0008454258493929672,0.0008457718499187646,3.460005257974229e-07,1.7577843752853559e-09
755,-0.1875,-0.3875,0.0009673715089943487,0.0010073387340439658,3.996722504961709e-05,-5.072289452859294e-09
756,-0.175,-0.3875,0.0012041509677626376,0.0011939526676259524,-1.0198300136685145e-05,3.074124208280736e-09
757,-0.16249999999999998,-0.3875,0.0013575255682847448,0.001406866937784003,4.934136949925807e-05,-4.420520202526422e-09
758,-0.15000000000000002,-0.3875,0.0015519821246364127,0.0016282809465969906,7.629882196057798e-05,1.1480928153719924e-09
759,-0.1375,-0.3875,0.0015868276530889007,0.0018850467192989548,0.0002982190662100541,-2.756464838157373e-08
