step,step_time,variable,value
Step-1,0.4059999883174896,ALLAE,0.0
Step-1,0.40700000524520874,ALLAE,0.0
Step-1,0.40799999237060547,ALLAE,0.0
Step-1,0.4090000092983246,ALLAE,0.0
Step-1,0.4099999964237213,ALLAE,0.0
Step-1,0.41100001335144043,ALLAE,0.0
Step-1,0.41200000047683716,ALLAE,0.0
Step-1,0.4129999876022339,ALLAE,0.0
Step-1,0.414000004529953,ALLAE,0.0
Step-1,0.41499999165534973,ALLAE,0.0
Step-1,0.41600000858306885,ALLAE,0.0
Step-1,0.4169999957084656,ALLAE,0.0
Step-1,0.4180000126361847,ALLAE,0.0
Step-1,0.4189999997615814,ALLAE,0.0
Step-1,0.41999998688697815,ALLAE,0.0
Step-1,0.42100000381469727,ALLAE,0.0
Step-1,0.421999990940094,ALLAE,0.0
Step-1,0.4230000078678131,ALLAE,0.0
Step-1,0.42399999499320984,ALLAE,0.0
Step-1,0.42500001192092896,ALLAE,0.0
Step-1,0.4259999990463257,ALLAE,0.0
Step-1,0.4269999861717224,ALLAE,0.0
Step-1,0.42800000309944153,ALLAE,0.0
Step-1,0.42899999022483826,ALLAE,0.0
Step-1,0.4300000071525574,ALLAE,0.0
Step-1,0.4309999942779541,ALLAE,0.0
Step-1,0.4320000112056732,ALLAE,0.0
Step-1,0.43299999833106995,ALLAE,0.0
Step-1,0.4339999854564667,ALLAE,0.0
Step-1,0.4350000023841858,ALLAE,0.0
Step-1,0.4359999895095825,ALLAE,0.0
Step-1,0.43700000643730164,ALLAE,0.0
Step-1,0.43799999356269836,ALLAE,0.0
Step-1,0.4390000104904175,ALLAE,0.0
Step-1,0.4399999976158142,ALLAE,0.0
Step-1,0.4410000145435333,ALLAE,0.0
Step-1,0.44200000166893005,ALLAE,0.0
Step-1,0.4429999887943268,ALLAE,0.0
Step-1,0.4440000057220459,ALLAE,0.0
Step-1,0.4449999928474426,ALLAE,0.0
Step-1,0.44600000977516174,ALLAE,0.0
