element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
295,1.201791027154571e-12,2.4304484725861834e-16,1.2020340720018298e-12
296,1.1980205783569787e-12,2.385854201632231e-16,1.198259163777142e-12
297,1.2128282411562166e-12,2.540112895874582e-16,1.213082252445804e-12
298,1.2225094240589571e-12,2.645955182733394e-16,1.2227740195772304e-12
299,1.2597054157583859e-12,2.9741352721430593e-16,1.2600028292856002e-12
300,1.2727004074164857e-12,3.08263008603777e-16,1.2730086704250895e-12
301,1.2874813347138144e-12,3.193892282623343e-16,1.2878007239420768e-12
302,1.3016412020872909e-12,3.3027023479836695e-16,1.3019714723220892e-12
303,1.317125149066364e-12,3.4130055978105894e-16,1.317466449626145e-12
304,1.3328186335042414e-12,3.522637374681738e-16,1.3331708972417097e-12
305,1.3651338524900641e-12,3.739487731561809e-16,1.3655078012632204e-12
306,1.3978780290795261e-12,3.950052755559289e-16,1.3982730343550821e-12
307,1.4720136684463968e-12,4.371723094524011e-16,1.4724508407558493e-12
308,1.4923018683382843e-12,4.476593806427407e-16,1.492749527718927e-12
309,1.5125694828670018e-12,4.579186177168153e-16,1.5130274014847185e-12
310,1.5567606625105913e-12,4.787393290638943e-16,1.5572394018396551e-12
311,1.6031743138491453e-12,4.991179759612698e-16,1.6036734318251065e-12
312,1.6282355572454208e-12,5.094139459618643e-16,1.6287449711913826e-12
313,1.6522201312831085e-12,5.190531183903114e-16,1.6527391844014988e-12
314,1.6783429834055016e-12,5.29008879106934e-16,1.6788719922846086e-12
315,1.7016367619465398e-12,5.377235689565115e-16,1.7021744855154963e-12
316,1.7719068369350462e-12,5.615726254736046e-16,1.77246840956052e-12
317,1.7950031441259729e-12,5.685925485103667e-16,1.7955717366744832e-12
318,1.8167039746646154e-12,5.747004562654344e-16,1.8172786751208808e-12
319,1.8406210146732212e-12,5.810197452858412e-16,1.841202034418507e-12
320,1.86860217703741e-12,5.880888643651798e-16,1.8691902659017752e-12
321,1.9036198688176103e-12,5.968495555495404e-16,1.90421671837316e-12
322,1.933692569806921e-12,6.035003631891134e-16,1.93429607017011e-12
323,1.933145243306028e-12,6.042012978849314e-16,1.933749444603913e-12
324,1.9600349222335418e-12,6.084303701001045e-16,1.9606433526036418e-12
325,2.0108533680732865e-12,6.160938942559412e-16,2.0114694619675423e-12
326,2.1038277615203753e-12,6.279303784474594e-16,2.1044556918988225e-12
327,2.156699629707711e-12,6.370075392064649e-16,2.1573366372469177e-12
328,2.1186064896831926e-12,6.331743613167374e-16,2.1192396640445093e-12
329,2.2381406052110217e-12,6.536099715484478e-16,2.23879421518257e-12
330,2.658448512956464e-12,7.559453602725253e-16,2.6592044583167368e-12
331,9.217668195864266e-12,2.277817247827251e-15,9.219946013112093e-12
332,3.3605231947427285e-12,9.093428136354676e-16,3.361432537556364e-12
333,4.395180516051485e-12,1.1936245087725837e-15,4.3963741405602574e-12
334,3.1165218879459105e-12,8.278042628200193e-16,3.1173496922087305e-12
335,2.3084361813989436e-12,5.864643079765219e-16,2.3090226457069202e-12
336,2.0097531455644615e-12,5.220435948999566e-14,2.0619575050544572e-12
337,7.446055460760638e-12,3.7008262076712533e-13,7.816138081527763e-12
338,1.1304998501302636e-11,1.4728592573343505e-13,1.145228442703607e-11
