element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3370,3.3824559980093044e-08,3.382456138391737e-08,3.457420700300502e-08,4.150310505111561e-08
3371,2.310171499756309e-08,2.3101714431171672e-08,2.378000200833877e-08,2.4517288739978213e-08
3372,3.254973809405604e-08,3.25497377612051e-08,3.325103723665031e-08,1.022591762471229e-08
3373,5.0442230693714316e-08,5.044222991746972e-08,5.163264049817315e-08,1.5388784092503062e-08
3374,3.9668069599868515e-08,3.966806983083958e-08,4.0575237705204345e-08,5.822593905491827e-09
3375,3.151226283177063e-08,3.1512262975293835e-08,3.2199725694864437e-08,4.554519033007854e-09
3376,4.8236073445511e-08,4.8236072420388976e-08,4.921755491815037e-08,2.125218634595582e-08
3377,6.810099076619167e-08,6.810099067683733e-08,6.951837704911676e-08,1.3120857479253155e-09
3378,3.033875034597153e-08,3.033875131207623e-08,3.125034369332629e-08,3.184391758649104e-08
3379,4.1307404738525813e-08,4.1307404781107046e-08,4.216615661057178e-08,1.03083776920224e-09
3380,4.242607409570804e-08,4.242607320968585e-08,4.3318607786604925e-08,2.0883907133500337e-08
3381,3.8589767337352555e-08,3.858976774711481e-08,3.957711004369812e-08,1.0618417194246977e-08
3382,3.96421798490344e-08,3.9642179991099507e-08,4.061458226926192e-08,3.5836855364467006e-09
3383,7.121280665638849e-08,7.121280787114533e-08,7.265714266234394e-08,1.705812309987111e-08
3384,2.9399900990599705e-08,2.9399901199009246e-08,3.0113726600939554e-08,7.088783743751669e-09
3385,3.3950986747780366e-08,3.3950985186398013e-08,3.476585876820219e-08,4.598930699454799e-08
3386,3.3817038477056834e-08,3.381703904131126e-08,3.451031918158584e-08,1.6685506527067945e-08
3387,4.9127376241353304e-08,4.912737538631493e-08,5.015219998297822e-08,1.7404519438452617e-08
3388,4.5037455615763615e-08,4.503745350436414e-08,4.597550064121514e-08,4.688096715810105e-08
3389,4.238452879373364e-08,4.2384528952719115e-08,4.341141779834366e-08,3.75102616107149e-09
3390,3.0454807619388864e-08,3.0454807624504546e-08,3.1225137363989146e-08,1.6797617038978663e-10
3391,2.844902955794557e-08,2.8449030121374615e-08,2.9068274099666516e-08,1.9804859518182632e-08
3392,2.3519681860370244e-08,2.3519681638035306e-08,2.403429358058039e-08,9.453143967785479e-09
3393,5.7924598243335183e-08,5.792459996149836e-08,5.982919410206902e-08,2.9662063711648347e-08
3394,3.030952428647027e-08,3.0309525139341276e-08,3.0965796502699e-08,2.8138712349527195e-08
3395,3.007704087269198e-08,3.0077041396242464e-08,3.074057557144132e-08,1.740698080856248e-08
3396,2.5263803295872123e-08,2.5263802945791738e-08,2.5895764766037023e-08,1.385699455447855e-08
3397,1.1848989728162547e-07,1.1848989909269148e-07,1.2088731592416776e-07,1.5284560344385193e-08
3398,4.068610650037065e-08,4.068610598758304e-08,4.1981853164039777e-08,1.260350660222696e-08
3399,6.080182713582763e-08,6.080182431161995e-08,6.270630668825948e-08,4.644938832903541e-08
3400,9.023997412890057e-08,9.023997384160439e-08,9.360663707429443e-08,3.183690760130217e-09
3401,6.358841203444379e-08,6.358841288166193e-08,6.488531573691929e-08,1.3323467353147453e-08
3402,1.2457889694225495e-07,1.2457889749702513e-07,1.289511285263587e-07,4.45316338200747e-09
3403,9.637537050305645e-08,9.637536683690523e-08,1.0022499728527804e-07,3.8040333304726494e-08
3404,6.572788737616895e-08,6.572788974097771e-08,6.708898618652629e-08,3.597877200950987e-08
3405,1.755748068618346e-08,1.755748038019182e-08,1.7915345969136128e-08,1.742799229935652e-08
3406,4.687565425833278e-08,4.687565337151515e-08,4.784068703637483e-08,1.891851201256552e-08
3407,7.494080372298686e-08,7.494080515469483e-08,7.750087932560032e-08,1.9104518174224208e-08
3408,2.095038530222711e-07,2.0950384995527778e-07,2.1637452523911706e-07,1.4639317056676984e-08
3409,1.6619553622489164e-07,1.661955318180777e-07,1.6957470975978896e-07,2.6515838219422123e-08
3410,3.1472558170540324e-07,3.1472557535601234e-07,3.215149805104128e-07,2.0174371783720267e-08
3411,1.5950910774984472e-07,1.5950910706714927e-07,1.6282886585586035e-07,4.2799778807409685e-09
3412,3.3163268793304906e-07,3.3163268938893045e-07,3.38503903616554e-07,4.3900418776376205e-09
3413,9.112318914050615e-08,9.112318759983987e-08,9.14677359344356e-08,1.6907510555369577e-08
3414,3.255099685781752e-07,3.255099719329844e-07,3.30544767459348e-07,1.030631773064558e-08
3415,5.389462490008661e-08,5.389462597503272e-08,5.514873041729551e-08,1.994533013283737e-08
3416,3.522433910480558e-08,3.5224337438428194e-08,3.609840053548841e-08,4.730755577099521e-08
3417,3.922612334977028e-08,3.922612447918118e-08,4.012918172485065e-08,2.8792314221186946e-08
3418,4.4351327514882615e-08,4.4351326363035075e-08,4.534007952832466e-08,2.597098226965702e-08
3419,4.1783115166309345e-08,4.178311305604682e-08,4.2645756040700355e-08,5.0505150690219775e-08
3420,3.096563005117964e-08,3.0965629329962146e-08,3.1648445543331295e-08,2.329090320812637e-08
3421,2.9513941733277997e-08,2.951394213618154e-08,3.016814269931768e-08,1.3651295417767579e-08
3422,1.076129489245214e-07,1.0761294511983686e-07,1.0979545760564328e-07,3.535526698330462e-08
3423,1.0781131215660691e-07,1.0781131034836248e-07,1.1003058290699301e-07,1.6772307013519918e-08
3424,9.981435266973019e-08,9.981435356593882e-08,1.033033913424759e-07,8.978755100138803e-09
3425,4.0157177512490734e-08,4.015717670033687e-08,4.097284351845498e-08,2.0224376177940166e-08
3426,5.269717233804399e-08,5.2697172858517557e-08,5.456599298392219e-08,9.876688649024106e-09
3427,1.3293494591733367e-07,1.3293494706836822e-07,1.3773379121211912e-07,8.658630252732198e-09
3428,7.599912201219881e-08,7.599912082928778e-08,7.759897968651966e-08,1.5564798557212468e-08
3429,1.1176830012810214e-07,1.1176829885263596e-07,1.161044011229472e-07,1.1411698853615941e-08
3430,1.3274731695498605e-07,1.3274731891636043e-07,1.3810610064533402e-07,1.4775246644745424e-08
3431,5.7099099932178726e-08,5.709909917659519e-08,5.855465114490646e-08,1.3232844982272411e-08
3432,3.669213680268027e-08,3.6692135435776106e-08,3.753340673152738e-08,3.725332680106469e-08
3433,3.928516386540674e-08,3.928516431361479e-08,4.0169000817333643e-08,1.1409091980927315e-08
