node,x,y,phase_d,source
104,0.024752475321292877,0.0,-0.0007441026391461492,U
105,0.019801979884505272,0.0,-0.0007520679500885308,U
106,0.014851485379040241,0.0,-0.0007621677941642702,U
107,0.009900989942252636,0.0,-0.0007754215621389449,U
108,0.004950494971126318,0.0,-0.0007933322340250015,U
109,-0.005408653989434242,-5.408653578342637e-07,-0.0008234683191403747,U
110,-0.014423076994717121,-1.4423077345782076e-06,-0.0008193528046831489,U
111,-0.03846153989434242,-3.84615395887522e-06,-0.0007900833734311163,U
112,-0.07692307978868484,-7.69230791775044e-06,-0.0007305907201953232,U
113,-0.11538461595773697,-1.153846187662566e-05,-0.0006895147380419075,U
114,-0.1538461595773697,-1.538461583550088e-05,-0.0006470518419519067,U
115,-0.19230769574642181,-1.92307688848814e-05,-0.0006101425387896597,U
116,-0.23076923191547394,-2.307692375325132e-05,-0.0005798295605927706,U
117,-0.26923078298568726,-2.692307680263184e-05,-0.0005547385080717504,U
118,-0.3076923191547394,-3.076923167100176e-05,-0.0005369190475903451,U
119,-0.3461538553237915,-3.461538290139288e-05,-0.000524785544257611,U
120,-0.38461539149284363,-3.84615377697628e-05,-0.0005177505663596094,U
121,-0.42307692766189575,-4.230769263813272e-05,-0.0005133181111887097,U
122,-0.4615384638309479,-4.615384750650264e-05,-0.0005121121648699045,U
123,-0.5,-0.041712500154972076,-0.00045392996980808675,U
124,-0.5,-0.0833749994635582,-0.00039356749039143324,U
125,-0.5,-0.12503750622272491,-0.00033145397901535034,U
126,-0.5,-0.16670000553131104,-0.0002698587195482105,U
127,-0.5,-0.20836250483989716,-0.00021138941519893706,U
128,-0.5,-0.2500250041484833,-0.00015774460916873068,U
129,-0.5,-0.2916874885559082,-0.00011109323531854898,U
130,-0.5,-0.3333500027656555,-7.178213854786009e-05,U
131,-0.5,-0.37501248717308044,-4.077957055415027e-05,U
132,-0.5,-0.41667500138282776,-1.8206894310424104e-05,U
133,-0.5,-0.4583374857902527,-5.163011337572243e-06,U
134,-0.46000000834465027,-0.5,9.30644637264777e-06,U
135,-0.41999998688697815,-0.5,1.5352017726399936e-05,U
136,-0.3799999952316284,-0.5,1.8612719941302203e-05,U
137,-0.3400000035762787,-0.5,1.9406326828175224e-05,U
138,-0.30000001192092896,-0.5,1.735888326948043e-05,U
139,-0.25999999046325684,-0.5,1.1865135093103163e-05,U
140,-0.2199999988079071,-0.5,2.4160287921404233e-06,U
141,-0.18000000715255737,-0.5,-1.1690314750012476e-05,U
142,-0.14000000059604645,-0.5,-3.112446211162023e-05,U
143,-0.10000000149011612,-0.5,-5.646417776006274e-05,U
144,-0.05999999865889549,-0.5,-8.794982568360865e-05,U
145,-0.019999999552965164,-0.5,-0.00012527123908512294,U
146,0.019999999552965164,-0.5,-0.00016847363440319896,U
