physical_element,source_storage_ip,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_time2,current_time2,previous_phase_after_u1,current_phase_after_u1,phase_drop,previous_sdv16_history,current_sdv16_history,sdv16_drop,current_u2_mm,centroid_x,centroid_y,abs_centroid_y,relative_drop,magnitude_bin,before_or_at_peak,after_peak,phase_overshoot_in_transition,near_crack_axis_abs_y_le_0p02,near_notch_left_half_x_le_0
17008,2,2,169,2,170,1.99411764705882,1.9999999999999964,0.9989320099964718,0.9988588492213368,7.316077513497277e-05,166.55762756113646,166.55762756113646,0.0,0.006999999999999993,0.035500000000000004,0.0005,0.0005,7.323899364805735e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,152,2,153,1.8941176470588204,1.8999999999999968,0.9993499529392982,0.9993455040250971,4.448914201038434e-06,199.30022326516206,199.30022326516206,0.0,0.0067999999999999935,0.0175,-0.00050000035,0.00050000035,4.451808085799417e-06,"(1e-6,1e-5]",False,True,False,True,False
16444,3,2,153,2,154,1.8999999999999968,1.9058823529411733,0.9993455040250971,0.9993234068927748,2.209713232237398e-05,199.30022326516206,199.30022326516206,0.0,0.006811764705882347,0.0175,-0.00050000035,0.00050000035,2.211160427837282e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,154,2,155,1.9058823529411733,1.9117647058823497,0.9993234068927748,0.9992783885261233,4.501836665149472e-05,199.30022326516206,199.30022326516206,0.0,0.0068235294117647,0.0175,-0.00050000035,0.00050000035,4.504884639045095e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,155,2,156,1.9117647058823497,1.9176470588235262,0.9992783885261233,0.9992079651947805,7.042333134277268e-05,199.30022326516206,199.30022326516206,0.0,0.006835294117647052,0.0175,-0.00050000035,0.00050000035,7.047418632423637e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,156,2,157,1.9176470588235262,1.9235294117647026,0.9992079651947805,0.9991251728249597,8.279236982078331e-05,199.30022326516206,199.30022326516206,0.0,0.006847058823529406,0.0175,-0.00050000035,0.00050000035,8.28579962376943e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,157,2,158,1.9235294117647026,1.929411764705879,0.9991251728249597,0.9990414791741338,8.369365082594449e-05,199.30022326516206,199.30022326516206,0.0,0.006858823529411758,0.0175,-0.00050000035,0.00050000035,8.37669324147907e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,158,2,159,1.929411764705879,1.9352941176470555,0.9990414791741338,0.9989730861393562,6.839303477756964e-05,199.30022326516206,199.30022326516206,0.0,0.006870588235294111,0.0175,-0.00050000035,0.00050000035,6.845865382296972e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,159,2,160,1.9352941176470555,1.941176470588232,0.9989730861393562,0.9989205856847366,5.250045461957509e-05,199.30022326516206,199.30022326516206,0.0,0.0068823529411764645,0.0175,-0.00050000035,0.00050000035,5.255442348549048e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,160,2,161,1.941176470588232,1.9470588235294084,0.9989205856847366,0.9988837407700598,3.684491467681461e-05,199.30022326516206,199.30022326516206,0.0,0.006894117647058817,0.0175,-0.00050000035,0.00050000035,3.6884728580859396e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,161,2,162,1.9470588235294084,1.9529411764705848,0.9988837407700598,0.9988561379079447,2.7602862115116977e-05,199.30022326516206,199.30022326516206,0.0,0.00690588235294117,0.0175,-0.00050000035,0.00050000035,2.7633708497284547e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,162,2,163,1.9529411764705848,1.9588235294117613,0.9988561379079447,0.998835066499155,2.1071408789707924e-05,199.30022326516206,199.30022326516206,0.0,0.006917647058823523,0.0175,-0.00050000035,0.00050000035,2.1095539177284285e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,163,2,164,1.9588235294117613,1.9647058823529377,0.998835066499155,0.9988170669163243,1.7999582830663385e-05,199.30022326516206,199.30022326516206,0.0,0.006929411764705876,0.0175,-0.00050000035,0.00050000035,1.80205756028877e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,164,2,165,1.9647058823529377,1.9705882352941142,0.9988170669163243,0.9988014017845186,1.5665131805731036e-05,199.30022326516206,199.30022326516206,0.0,0.006941176470588228,0.0175,-0.00050000035,0.00050000035,1.5683684555065156e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,165,2,166,1.9705882352941142,1.9764705882352906,0.9988014017845186,0.9987866867152179,1.4715069300730299e-05,199.30022326516206,199.30022326516206,0.0,0.006952941176470582,0.0175,-0.00050000035,0.00050000035,1.4732727922126934e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,166,2,167,1.9764705882352906,1.982352941176467,0.9987866867152179,0.9987730765125336,1.3610202684311012e-05,199.30022326516206,199.30022326516206,0.0,0.0069647058823529345,0.0175,-0.00050000035,0.00050000035,1.3626736184351708e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,167,2,168,1.982352941176467,1.9882352941176435,0.9987730765125336,0.998759862803181,1.3213709352588587e-05,199.30022326516206,199.30022326516206,0.0,0.006976470588235287,0.0175,-0.00050000035,0.00050000035,1.3229941478526397e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,168,2,169,1.9882352941176435,1.99411764705882,0.998759862803181,0.9987474136200952,1.2449183085738724e-05,199.30022326516206,199.30022326516206,0.0,0.006988235294117641,0.0175,-0.00050000035,0.00050000035,1.246464095062659e-05,"(1e-5,1e-4]",False,True,False,True,False
16444,3,2,169,2,170,1.99411764705882,1.9999999999999964,0.9987474136200952,0.998735224938084,1.2188682011249341e-05,199.30022326516206,199.30022326516206,0.0,0.006999999999999993,0.0175,-0.00050000035,0.00050000035,1.2203968536018344e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,155,2,156,1.9117647058823497,1.9176470588235262,0.9993940311890538,0.9993939906180899,4.057096392173776e-08,205.09544012959373,205.09544012959373,0.0,0.006835294117647052,0.0205,-0.00050000035,0.00050000035,4.059556356712222e-08,"(1e-8,1e-6]",False,True,False,True,False
16447,3,2,156,2,157,1.9176470588235262,1.9235294117647026,0.9993939906180899,0.9993831323739999,1.0858244089972935e-05,205.09544012959373,205.09544012959373,0.0,0.006847058823529406,0.0205,-0.00050000035,0.00050000035,1.086482827784215e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,157,2,158,1.9235294117647026,1.929411764705879,0.9993831323739999,0.9993556103934249,2.7521980574984894e-05,205.09544012959373,205.09544012959373,0.0,0.006858823529411758,0.0205,-0.00050000035,0.00050000035,2.753896847308938e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,158,2,159,1.929411764705879,1.9352941176470555,0.9993556103934249,0.9993072350295945,4.837536383039964e-05,205.09544012959373,205.09544012959373,0.0,0.006870588235294111,0.0205,-0.00050000035,0.00050000035,4.840655651230626e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,159,2,160,1.9352941176470555,1.941176470588232,0.9993072350295945,0.9992365109157906,7.072411380393273e-05,205.09544012959373,205.09544012959373,0.0,0.0068823529411764645,0.0205,-0.00050000035,0.00050000035,7.077314295821968e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,160,2,161,1.941176470588232,1.9470588235294084,0.9992365109157906,0.9991563296155874,8.018130020315262e-05,205.09544012959373,205.09544012959373,0.0,0.006894117647058817,0.0205,-0.00050000035,0.00050000035,8.024256452525661e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,161,2,162,1.9470588235294084,1.9529411764705848,0.9991563296155874,0.9990761149114884,8.02147040990242e-05,205.09544012959373,205.09544012959373,0.0,0.00690588235294117,0.0205,-0.00050000035,0.00050000035,8.02824360126766e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,162,2,163,1.9529411764705848,1.9588235294117613,0.9990761149114884,0.9990100409059331,6.607400555525e-05,205.09544012959373,205.09544012959373,0.0,0.006917647058823523,0.0205,-0.00050000035,0.00050000035,6.613510679424432e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,163,2,164,1.9588235294117613,1.9647058823529377,0.9990100409059331,0.9989584108765277,5.163002940544725e-05,205.09544012959373,205.09544012959373,0.0,0.006929411764705876,0.0205,-0.00050000035,0.00050000035,5.16811916711343e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,164,2,165,1.9647058823529377,1.9705882352941142,0.9989584108765277,0.998921534337637,3.687653889072884e-05,205.09544012959373,205.09544012959373,0.0,0.006941176470588228,0.0205,-0.00050000035,0.00050000035,3.691498914191215e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,165,2,166,1.9705882352941142,1.9764705882352906,0.998921534337637,0.9988935721399812,2.7962197655773124e-05,205.09544012959373,205.09544012959373,0.0,0.006952941176470582,0.0205,-0.00050000035,0.00050000035,2.799238648340307e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,166,2,167,1.9764705882352906,1.982352941176467,0.9988935721399812,0.9988721032560784,2.1468883902753255e-05,205.09544012959373,205.09544012959373,0.0,0.0069647058823529345,0.0205,-0.00050000035,0.00050000035,2.149266398497225e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,167,2,168,1.982352941176467,1.9882352941176435,0.9988721032560784,0.998853772003011,1.8331253067493947e-05,205.09544012959373,205.09544012959373,0.0,0.006976470588235287,0.0205,-0.00050000035,0.00050000035,1.8351952174596277e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,168,2,169,1.9882352941176435,1.99411764705882,0.998853772003011,0.9988378601497332,1.5911853277761345e-05,205.09544012959373,205.09544012959373,0.0,0.006988235294117641,0.0205,-0.00050000035,0.00050000035,1.593011281906976e-05,"(1e-5,1e-4]",False,True,False,True,False
16447,3,2,169,2,170,1.99411764705882,1.9999999999999964,0.9988378601497332,0.9988223426299141,1.5517519819097103e-05,205.09544012959373,205.09544012959373,0.0,0.006999999999999993,0.0205,-0.00050000035,0.00050000035,1.5535574329121756e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,139,2,140,1.8176470588235265,1.823529411764703,0.999402829868203,0.9994020452274177,7.846407852341031e-07,201.17720077256777,201.17720077256777,0.0,0.006647058823529406,0.006500000000000001,-0.00050000035,0.00050000035,7.851096292548804e-07,"(1e-8,1e-6]",False,True,False,True,False
16433,4,2,140,2,141,1.823529411764703,1.8294117647058794,0.9994020452274177,0.9993896494184006,1.2395809017129444e-05,201.17720077256777,201.17720077256777,0.0,0.006658823529411759,0.006500000000000001,-0.00050000035,0.00050000035,1.2403225585063448e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,141,2,142,1.8294117647058794,1.8352941176470559,0.9993896494184006,0.9993569306810414,3.2718737359216377e-05,201.17720077256777,201.17720077256777,0.0,0.006670588235294112,0.006500000000000001,-0.00050000035,0.00050000035,3.273871945567697e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,142,2,143,1.8352941176470559,1.8411764705882323,0.9993569306810414,0.9992979800855512,5.895059549021475e-05,201.17720077256777,201.17720077256777,0.0,0.006682352941176465,0.006500000000000001,-0.00050000035,0.00050000035,5.898852920351603e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,143,2,144,1.8411764705882323,1.8470588235294088,0.9992979800855512,0.9992086697623215,8.931032322967436e-05,201.17720077256777,201.17720077256777,0.0,0.006694117647058817,0.006500000000000001,-0.00050000035,0.00050000035,8.937306490105023e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,144,2,145,1.8470588235294088,1.8529411764705852,0.9992086697623215,0.9991031006068626,0.00010556915545889556,201.17720077256777,201.17720077256777,0.0,0.006705882352941171,0.006500000000000001,-0.00050000035,0.00050000035,0.00010565276168391028,>1e-4,False,True,False,True,False
16433,4,2,145,2,146,1.8529411764705852,1.8588235294117617,0.9991031006068626,0.9989931417668059,0.00010995884005671197,201.17720077256777,201.17720077256777,0.0,0.0067176470588235235,0.006500000000000001,-0.00050000035,0.00050000035,0.00011005755060706163,>1e-4,False,True,False,True,False
16433,4,2,146,2,147,1.8588235294117617,1.864705882352938,0.9989931417668059,0.9988999420492299,9.319971757593137e-05,201.17720077256777,201.17720077256777,0.0,0.006729411764705876,0.006500000000000001,-0.00050000035,0.00050000035,9.329365105660246e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,147,2,148,1.864705882352938,1.8705882352941146,0.9988999420492299,0.9988256377670215,7.430428220844831e-05,201.17720077256777,201.17720077256777,0.0,0.00674117647058823,0.006500000000000001,-0.00050000035,0.00050000035,7.438611124154644e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,148,2,149,1.8705882352941146,1.876470588235291,0.9988256377670215,0.9987726088675514,5.302889947012002e-05,201.17720077256777,201.17720077256777,0.0,0.006752941176470582,0.006500000000000001,-0.00050000035,0.00050000035,5.309124782646912e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,149,2,150,1.876470588235291,1.8823529411764675,0.9987726088675514,0.9987328718218084,3.973704574300463e-05,201.17720077256777,201.17720077256777,0.0,0.006764705882352935,0.006500000000000001,-0.00050000035,0.00050000035,3.9785878577567414e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,150,2,151,1.8823529411764675,1.888235294117644,0.9987328718218084,0.9987032240144605,2.9647807347821242e-05,201.17720077256777,201.17720077256777,0.0,0.006776470588235288,0.006500000000000001,-0.00050000035,0.00050000035,2.9685422583258016e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,151,2,152,1.888235294117644,1.8941176470588204,0.9987032240144605,0.9986784892934064,2.4734721054131548e-05,201.17720077256777,201.17720077256777,0.0,0.006788235294117641,0.006500000000000001,-0.00050000035,0.00050000035,2.4766838095010902e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,152,2,153,1.8941176470588204,1.8999999999999968,0.9986784892934064,0.9986575084579482,2.0980835458206393e-05,201.17720077256777,201.17720077256777,0.0,0.0067999999999999935,0.006500000000000001,-0.00050000035,0.00050000035,2.100859854611561e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,153,2,154,1.8999999999999968,1.9058823529411733,0.9986575084579482,0.9986380802229748,1.9428234973362102e-05,201.17720077256777,201.17720077256777,0.0,0.006811764705882347,0.006500000000000001,-0.00050000035,0.00050000035,1.9454352276749733e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,154,2,155,1.9058823529411733,1.9117647058823497,0.9986380802229748,0.9986203327363412,1.774748663363468e-05,201.17720077256777,201.17720077256777,0.0,0.0068235294117647,0.006500000000000001,-0.00050000035,0.00050000035,1.7771690250057398e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,155,2,156,1.9117647058823497,1.9176470588235262,0.9986203327363412,0.9986031719098525,1.7160826488726855e-05,201.17720077256777,201.17720077256777,0.0,0.006835294117647052,0.006500000000000001,-0.00050000035,0.00050000035,1.7184535429700397e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,156,2,157,1.9176470588235262,1.9235294117647026,0.9986031719098525,0.9985870855457664,1.6086364086120852e-05,201.17720077256777,201.17720077256777,0.0,0.006847058823529406,0.006500000000000001,-0.00050000035,0.00050000035,1.6108865401814512e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,157,2,158,1.9235294117647026,1.929411764705879,0.9985870855457664,0.9985713207696149,1.5764776151505622e-05,201.17720077256777,201.17720077256777,0.0,0.006858823529411758,0.006500000000000001,-0.00050000035,0.00050000035,1.578708194777981e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,158,2,159,1.929411764705879,1.9352941176470555,0.9985713207696149,0.9985564160025063,1.4904767108525618e-05,201.17720077256777,201.17720077256777,0.0,0.006870588235294111,0.006500000000000001,-0.00050000035,0.00050000035,1.4926091705736428e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,159,2,160,1.9352941176470555,1.941176470588232,0.9985564160025063,0.9985417433007413,1.4672701765028329e-05,201.17720077256777,201.17720077256777,0.0,0.0068823529411764645,0.006500000000000001,-0.00050000035,0.00050000035,1.4693913663653733e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,160,2,161,1.941176470588232,1.9470588235294084,0.9985417433007413,0.9985278132200023,1.393008073902191e-05,201.17720077256777,201.17720077256777,0.0,0.006894117647058817,0.006500000000000001,-0.00050000035,0.00050000035,1.395042403833331e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,161,2,162,1.9470588235294084,1.9529411764705848,0.9985278132200023,0.9985140650299591,1.3748190043183506e-05,201.17720077256777,201.17720077256777,0.0,0.00690588235294117,0.006500000000000001,-0.00050000035,0.00050000035,1.3768459787663835e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,162,2,163,1.9529411764705848,1.9588235294117613,0.9985140650299591,0.9985009768312739,1.3088198685173857e-05,201.17720077256777,201.17720077256777,0.0,0.006917647058823523,0.006500000000000001,-0.00050000035,0.00050000035,1.3107675839079106e-05,"(1e-5,1e-4]",False,True,False,True,False
16433,4,2,163,2,164,1.9588235294117613,1.9647058823529377,0.9985009768312739,0.9984880415259189,1.2935305355066262e-05,201.17720077256777,201.17720077256777,0.0,0.006929411764705876,0.006500000000000001,-0.00050000035,0.00050000035,1.2954724787667446e-05,"(1e-5,1e-4]",False,True,False,True,False
