frame_tag,actual_top_u2_mm,node,x,y,multiplier,d,d_lb,first_violating_frame,union_group_id
F4_segment_end,0.0030999999999999973,3139,0.25,-0.025000000000000022,-1.8017831127303618e-8,0.009843592881973912,0.009843592881973912,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3140,0.26249999999999996,-0.025000000000000022,-1.8596710262723784e-8,0.009816313759005213,0.009816313759005213,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3141,0.275,-0.025000000000000022,-1.8217933862427804e-8,0.009804964621479945,0.009804964621479945,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3142,0.2875,-0.025000000000000022,-1.8498653308448475e-8,0.009794474181407395,0.009794474181407395,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3143,0.30000000000000004,-0.025000000000000022,-1.8234497142571506e-8,0.009790197497925887,0.009790197497925885,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3144,0.3125,-0.025000000000000022,-1.8472166182321938e-8,0.009782097939595138,0.009782097939595138,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3145,0.32499999999999996,-0.025000000000000022,-1.8125819330104454e-8,0.009775397651957864,0.009775397651957864,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3146,0.3375,-0.025000000000000022,-1.8382093125106348e-8,0.009759310448797121,0.009759310448797121,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3147,0.35,-0.025000000000000022,-1.7938618556306547e-8,0.009740875217360273,0.009740875217360273,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3148,0.36250000000000004,-0.025000000000000022,-1.825290383408498e-8,0.009706906105200804,0.009706906105200804,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3149,0.375,-0.025000000000000022,-1.8207764358748937e-8,0.00966303477578874,0.00966303477578874,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3150,0.38749999999999996,-0.025000000000000022,-1.7807184904629256e-8,0.009606813314484909,0.009606813314484909,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3151,0.4,-0.025000000000000022,-1.788964657873404e-8,0.00952980372317884,0.00952980372317884,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3152,0.4125,-0.025000000000000022,-1.7609006406082263e-8,0.009435512598671383,0.009435512598671383,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3153,0.42500000000000004,-0.025000000000000022,-1.7625680079659828e-8,0.009318033288813535,0.009318033288813535,F4_segment_inc_006,1
