node,x,y,d_lower_bound_F3
216,0.16249999999999998,-0.475,0.010431482995959198
217,0.17500000000000004,-0.475,0.010644707181528656
218,0.1875,-0.475,0.010893276881935152
219,0.19999999999999996,-0.475,0.011082916711344603
220,0.21250000000000002,-0.475,0.011237195959982823
221,0.22499999999999998,-0.475,0.011420557746906363
222,0.23750000000000004,-0.475,0.011564918081255662
223,0.25,-0.475,0.011673477887145924
224,0.26249999999999996,-0.475,0.011809053968056642
225,0.275,-0.475,0.011928958731092362
226,0.2875,-0.475,0.011999712932670409
227,0.30000000000000004,-0.475,0.012107885194174314
228,0.3125,-0.475,0.01223773772140626
229,0.32499999999999996,-0.475,0.012291227013475986
230,0.3375,-0.475,0.012388678573974288
231,0.35,-0.475,0.012505847084659603
232,0.36250000000000004,-0.475,0.012587321019152395
233,0.375,-0.475,0.012701838406105951
234,0.38749999999999996,-0.475,0.01284672112373871
235,0.4,-0.475,0.012962163444092439
236,0.4125,-0.475,0.013110962888035774
237,0.42500000000000004,-0.475,0.013308967261498043
238,0.4375,-0.475,0.013481570981399968
239,0.44999999999999996,-0.475,0.013661002049580772
240,0.4625,-0.475,0.01389886165441456
241,0.475,-0.475,0.014108303602910184
242,0.48750000000000004,-0.475,0.01415495141741141
243,0.5,-0.475,0.01416885726383741
244,-0.5,-0.4625,0.0003714437020513714
245,-0.4875,-0.4625,0.0003584495950707953
246,-0.475,-0.4625,0.00033962085743097773
247,-0.4625,-0.4625,0.00029715015930175515
248,-0.45,-0.4625,0.00023514752757429982
249,-0.4375,-0.4625,0.00017511483131777542
250,-0.425,-0.4625,0.00014061999568012906
251,-0.4125,-0.4625,9.704022386124137e-05
252,-0.4,-0.4625,6.0234551911381e-05
253,-0.3875,-0.4625,4.054572432875312e-05
254,-0.375,-0.4625,3.562141667008765e-05
255,-0.3625,-0.4625,2.4572873204753226e-05
256,-0.35,-0.4625,2.766348073472009e-05
257,-0.3375,-0.4625,4.348909249759642e-05
258,-0.325,-0.4625,8.290656256448355e-05
259,-0.3125,-0.4625,9.69828359469214e-05
260,-0.3,-0.4625,0.00013934831484717814
261,-0.2875,-0.4625,0.000240629535992644
262,-0.275,-0.4625,0.0002564452411896971
263,-0.2625,-0.4625,0.00032167078088887833
264,-0.25,-0.4625,0.00043178051307637125
265,-0.2375,-0.4625,0.0005285896057528258
