element,integration_point,H_F3
143,2,0.0010992294273997974
143,3,0.0010991929427154974
143,4,0.0010937111832699956
144,1,0.0011029283853124102
144,2,0.0011080842677665442
144,3,0.0011080472726131298
144,4,0.0011028912895679622
145,1,0.0011115831464215016
145,2,0.0011165318864604483
145,3,0.001116495280908808
145,4,0.0011115464044796205
146,1,0.0011199159973921083
146,2,0.0011247433172496078
146,3,0.0011247066531022854
146,4,0.0011198791448864779
147,1,0.001128104067866623
147,2,0.0011329487608571194
147,3,0.001132911436621021
147,4,0.0011280664925084336
148,1,0.0011363839602192246
148,2,0.0011413590380518926
148,3,0.001141321263230057
148,4,0.0011363458853135807
149,1,0.0011449688690945046
149,2,0.001150223116501832
149,3,0.0011501842475315966
149,4,0.001144929619497777
150,1,0.001154113737093011
150,2,0.0011597789741189116
150,3,0.0011597387869146287
150,4,0.0011540730708478786
151,1,0.0011640341175672107
151,2,0.0011702186843717665
151,3,0.001170177711824451
151,4,0.0011639925910212278
152,1,0.0011749565059909295
152,2,0.0011818642650659227
152,3,0.0011818220496296267
152,4,0.0011749135977328594
153,1,0.001187191234593344
153,2,0.0011949218282092356
153,3,0.001194878746347145
153,4,0.0011871472676084523
154,1,0.0012009176871586077
154,2,0.0012096051398601327
154,3,0.0012095622180303767
154,4,0.0012008737528385596
155,1,0.0012178885846566914
155,2,0.0012263679407472658
155,3,0.001226325579045705
155,4,0.0012179338500863583
156,1,0.0012341336031140078
156,2,0.0012453897020280743
156,3,0.0012453494437810707
156,4,0.0012340917130579181
157,1,0.001254185397001649
157,2,0.0012669413546233092
157,3,0.0012669050301030926
157,4,0.0012541471961909046
158,1,0.0012808369961881333
158,2,0.001296827486108425
158,3,0.0012970978782261065
158,4,0.001281045322523577
159,1,0.0013030469969487056
159,2,0.001319620666211849
159,3,0.0013196003424289075
159,4,0.0013030237834466855
160,1,0.001332566041955466
160,2,0.0013513834489903606
160,3,0.0013513767044186034
160,4,0.00133255562949031
161,1,4.641115904630416e-05
161,2,4.116160410674229e-05
161,3,4.115273390419528e-05
161,4,4.640537732272231e-05
162,1,3.756648903167333e-05
162,2,3.2978606077607896e-05
162,3,3.2956534920782034e-05
162,4,3.7547097117977924e-05
163,1,3.1866521424529133e-05
163,2,2.970589997821177e-05
163,3,2.862472898263177e-05
163,4,3.235101762174798e-05
164,1,2.6361912948063282e-05
164,2,2.035907246039841e-05
164,3,2.078632225493573e-05
164,4,2.5733113793059345e-05
165,1,1.745119440961153e-05
165,2,1.4582453647515129e-05
165,3,1.5150893945609507e-05
165,4,1.7653425358618884e-05
166,1,1.33043356643174e-05
166,2,1.2913672347363063e-05
166,3,1.2578385870139258e-05
166,4,1.2867307451115042e-05
167,1,1.1779542625156791e-05
167,2,8.822610559207448e-06
167,3,8.934319663008021e-06
167,4,1.1252162810433007e-05
168,1,6.339882392048815e-06
168,2,4.052731297362981e-06
168,3,3.953501071661535e-06
168,4,7.015766176963647e-06
169,1,3.0300587471453254e-06
169,2,2.8008769033365252e-06
169,3,2.5075277013061115e-06
169,4,2.9690489680851485e-06
170,1,2.7067359627889956e-06
170,2,2.0683944457116886e-06
170,3,2.2367350669609627e-06
170,4,2.3933378667077205e-06
171,1,1.5655267594967804e-06
171,2,1.0276321036244977e-06
171,3,7.946695142392073e-07
171,4,1.0669443109101957e-06
172,1,7.117780214072595e-07
172,2,7.12427665607953e-07
172,3,8.125705941423615e-07
172,4,7.947793900286818e-07
173,1,7.347456069228087e-07
173,2,2.3126682522959117e-06
173,3,1.2539735745851336e-06
173,4,8.372220501271102e-07
174,1,3.411740273694601e-06
174,2,4.740136394098833e-06
174,3,4.212345487104108e-06
174,4,3.345495508163767e-06
175,1,5.846759102264928e-06
175,2,5.821948742989118e-06
175,3,6.125719674932572e-06
175,4,6.101192000588595e-06
176,1,6.683244807226979e-06
176,2,9.344470586568012e-06
176,3,8.860992413050389e-06
176,4,6.680162566670724e-06
177,1,1.222773093153767e-05
177,2,1.6251619325473932e-05
177,3,1.5567125600099164e-05
177,4,1.0441624467991035e-05
178,1,1.8148725157735698e-05
178,2,1.9749162504910285e-05
178,3,2.0016756062016745e-05
178,4,2.0031747628993794e-05
179,1,2.0855927429807098e-05
179,2,2.479103243315767e-05
179,3,2.485614150344639e-05
179,4,2.0908840613616e-05
180,1,2.8861372026545045e-05
180,2,3.664765364647538e-05
180,3,3.571983354538793e-05
180,4,2.7771850342883346e-05
181,1,4.105036733069293e-05
181,2,4.387025723300506e-05
181,3,4.5470191801379964e-05
181,4,3.922128172484457e-05
182,1,4.507396429697736e-05
182,2,5.1181673043533195e-05
182,3,5.1322358355645716e-05
182,4,4.548190252123889e-05
183,1,5.58036434068888e-05
183,2,6.643284918015353e-05
183,3,6.59522662871709e-05
183,4,5.695192187062937e-05
184,1,7.46271692510434e-05
184,2,8.102109124104671e-05
184,3,8.426987798310757e-05
184,4,7.228341157141436e-05
185,1,8.359625095426781e-05
185,2,9.053927480223089e-05
185,3,9.076509406573342e-05
185,4,8.422168002122842e-05
186,1,9.730832252052729e-05
186,2,0.00010835154311153069
186,3,0.00010928328128683495
186,4,9.754563537145715e-05
187,1,0.00012164484293363945
187,2,0.00013443068090626786
187,3,0.00014229690620021364
187,4,0.00011940470310302645
188,1,0.00014086888651883278
188,2,0.00014527142407337783
188,3,0.0001455800368065035
188,4,0.00014208930477643095
189,1,0.00015455565900642946
189,2,0.00016723652323066525
189,3,0.00016823193494456293
189,4,0.00015487255883054707
190,1,0.00018245454226625889
190,2,0.00020376936905182056
190,3,0.00019882474099773903
