node,x,y,d_F3,d_D3D_A1,d_update
4240,0.35,0.13749999999999996,0.010743884348628094,0.010743884348628094,0.0
4241,0.36250000000000004,0.13749999999999996,0.010659831788378673,0.010659831788378673,0.0
4242,0.375,0.13749999999999996,0.010586058751064706,0.010586058751064706,0.0
4243,0.38749999999999996,0.13749999999999996,0.010494701467324265,0.010494701467324265,0.0
4244,0.4,0.13749999999999996,0.010406161409107252,0.010406161409107252,0.0
4245,0.4125,0.13749999999999996,0.010311000609135184,0.010311000609135184,0.0
4246,0.42500000000000004,0.13749999999999996,0.010247736948042218,0.010247736948042218,0.0
4247,0.4375,0.13749999999999996,0.01010712387359123,0.01010712387359123,0.0
4248,0.44999999999999996,0.13749999999999996,0.009964153877936132,0.009964153877936132,0.0
4249,0.4625,0.13749999999999996,0.0098292229516285,0.0098292229516285,0.0
4250,0.475,0.13749999999999996,0.009694325403855437,0.009694325403855437,0.0
4251,0.48750000000000004,0.13749999999999996,0.009590546457652793,0.009590546457652793,0.0
4252,0.5,0.13749999999999996,0.00956523779759529,0.00956523779759529,0.0
4253,-0.5,0.15000000000000002,6.897629555898326e-05,6.897629555898326e-05,0.0
4254,-0.4875,0.15000000000000002,6.609595956510441e-05,6.609595956510441e-05,0.0
4255,-0.475,0.15000000000000002,6.705386446630032e-05,6.705386446630032e-05,0.0
4256,-0.4625,0.15000000000000002,6.990326478153512e-05,6.990326478153512e-05,0.0
4257,-0.45,0.15000000000000002,7.353870766954701e-05,7.353870766954701e-05,0.0
4258,-0.4375,0.15000000000000002,7.71221366348929e-05,7.71221366348929e-05,0.0
4259,-0.425,0.15000000000000002,8.216840751567323e-05,8.216840751567323e-05,0.0
4260,-0.4125,0.15000000000000002,8.755250147578392e-05,8.755250147578392e-05,0.0
4261,-0.4,0.15000000000000002,9.108966144093267e-05,9.108966144093267e-05,0.0
4262,-0.3875,0.15000000000000002,9.438521996802066e-05,9.438521996802066e-05,0.0
4263,-0.375,0.15000000000000002,9.651534661867172e-05,9.651534661867172e-05,0.0
4264,-0.3625,0.15000000000000002,9.656416735333157e-05,9.656416735333157e-05,0.0
4265,-0.35,0.15000000000000002,9.580941823908895e-05,9.580941823908895e-05,0.0
4266,-0.3375,0.15000000000000002,9.458611798634444e-05,9.458611798634444e-05,0.0
4267,-0.325,0.15000000000000002,8.830433380718572e-05,8.830433380718572e-05,0.0
4268,-0.3125,0.15000000000000002,8.274418721631048e-05,8.274418721631048e-05,0.0
4269,-0.3,0.15000000000000002,7.997779839137687e-05,7.997779839137687e-05,0.0
4270,-0.2875,0.15000000000000002,6.967536889467072e-05,6.967536889467072e-05,0.0
4271,-0.275,0.15000000000000002,6.31255185119237e-05,6.31255185119237e-05,0.0
4272,-0.2625,0.15000000000000002,5.883698342971379e-05,5.883698342971379e-05,0.0
4273,-0.25,0.15000000000000002,5.633321745292375e-05,5.633321745292375e-05,0.0
4274,-0.2375,0.15000000000000002,6.058430170707428e-05,6.058430170707428e-05,0.0
4275,-0.22499999999999998,0.15000000000000002,7.483703660343349e-05,7.483703660343349e-05,0.0
4276,-0.21250000000000002,0.15000000000000002,0.00010886104238385211,0.00010886104238385211,0.0
4277,-0.2,0.15000000000000002,0.00015394684877974199,0.00015394684877974199,0.0
4278,-0.1875,0.15000000000000002,0.0002421144273156716,0.0002421144273156716,0.0
4279,-0.175,0.15000000000000002,0.0003423480626450234,0.0003423480626450234,0.0
4280,-0.16249999999999998,0.15000000000000002,0.00050575563249382,0.00050575563249382,0.0
4281,-0.15000000000000002,0.15000000000000002,0.0007055835330813091,0.0007055835330813091,0.0
4282,-0.1375,0.15000000000000002,0.000993973749982835,0.000993973749982835,0.0
4283,-0.125,0.15000000000000002,0.001339673260396176,0.001339673260396176,0.0
4284,-0.11249999999999999,0.15000000000000002,0.0018701210043393197,0.0018701210043393197,0.0
4285,-0.09999999999999998,0.15000000000000002,0.002371372084637257,0.002371372084637257,0.0
4286,-0.08750000000000002,0.15000000000000002,0.0033881687300189424,0.0033881687300189424,0.0
4287,-0.07500000000000001,0.15000000000000002,0.004042843633242326,0.004042843633242326,0.0
4288,-0.0625,0.15000000000000002,0.005107528644147463,0.005107528644147463,0.0
4289,-0.04999999999999999,0.15000000000000002,0.006228168205606459,0.006228168205606459,0.0
4290,-0.03749999999999998,0.15000000000000002,0.007425667071400992,0.007425667071400992,0.0
4291,-0.025000000000000022,0.15000000000000002,0.008632228797527688,0.008632228797527688,0.0
4292,-0.012500000000000011,0.15000000000000002,0.009994451124458535,0.009994451124458535,0.0
4293,0.0,0.15000000000000002,0.010944386686164966,0.010944386686164966,0.0
4294,0.012499999999999956,0.15000000000000002,0.011992739786691436,0.011992739786691436,0.0
4295,0.025000000000000022,0.15000000000000002,0.013099965953470724,0.013099965953470724,0.0
4296,0.03749999999999998,0.15000000000000002,0.013912427332492656,0.013912427332492656,0.0
4297,0.050000000000000044,0.15000000000000002,0.014054874305069933,0.014054874305069933,0.0
4298,0.0625,0.15000000000000002,0.014319622834518573,0.014319622834518573,0.0
4299,0.07499999999999996,0.15000000000000002,0.014467699908049924,0.014467699908049924,0.0
4300,0.08750000000000002,0.15000000000000002,0.014424025953296674,0.014424025953296674,0.0
4301,0.09999999999999998,0.15000000000000002,0.014291348225157024,0.014291348225157024,0.0
4302,0.11250000000000004,0.15000000000000002,0.014108871175465113,0.014108871175465113,0.0
4303,0.125,0.15000000000000002,0.013897047154579815,0.013897047154579815,0.0
4304,0.13749999999999996,0.15000000000000002,0.013610591937381417,0.013610591937381417,0.0
4305,0.15000000000000002,0.15000000000000002,0.013340238172187734,0.013340238172187734,0.0
4306,0.16249999999999998,0.15000000000000002,0.01309771082371102,0.01309771082371102,0.0
4307,0.17500000000000004,0.15000000000000002,0.01284358694338302,0.01284358694338302,0.0
4308,0.1875,0.15000000000000002,0.012584879976616198,0.012584879976616198,0.0
4309,0.19999999999999996,0.15000000000000002,0.012361004635311234,0.012361004635311234,0.0
