node,x,y,active_F3,initial_active_A1,initial_release_seed
471,0.3125,-0.4375,True,True,False
472,0.32499999999999996,-0.4375,True,True,False
473,0.3375,-0.4375,True,True,False
474,0.35,-0.4375,True,True,False
475,0.36250000000000004,-0.4375,True,True,False
476,0.375,-0.4375,True,True,False
477,0.38749999999999996,-0.4375,True,True,False
478,0.4,-0.4375,True,True,False
479,0.4125,-0.4375,True,True,False
480,0.42500000000000004,-0.4375,True,True,False
481,0.4375,-0.4375,True,True,False
482,0.44999999999999996,-0.4375,True,True,False
483,0.4625,-0.4375,True,True,False
484,0.475,-0.4375,True,True,False
485,0.48750000000000004,-0.4375,True,True,False
486,0.5,-0.4375,True,True,False
487,-0.5,-0.425,True,True,False
488,-0.4875,-0.425,True,True,False
489,-0.475,-0.425,True,True,False
490,-0.4625,-0.425,True,True,False
491,-0.45,-0.425,True,True,False
492,-0.4375,-0.425,True,True,False
493,-0.425,-0.425,True,True,False
494,-0.4125,-0.425,True,True,False
495,-0.4,-0.425,True,True,False
496,-0.3875,-0.425,True,True,False
497,-0.375,-0.425,True,True,False
498,-0.3625,-0.425,True,True,False
499,-0.35,-0.425,True,True,False
500,-0.3375,-0.425,True,True,False
501,-0.325,-0.425,True,True,False
502,-0.3125,-0.425,True,True,False
503,-0.3,-0.425,True,True,False
504,-0.2875,-0.425,True,True,False
505,-0.275,-0.425,True,True,False
506,-0.2625,-0.425,True,True,False
507,-0.25,-0.425,True,True,False
508,-0.2375,-0.425,True,True,False
509,-0.22499999999999998,-0.425,True,True,False
510,-0.21250000000000002,-0.425,True,True,False
511,-0.2,-0.425,True,True,False
512,-0.1875,-0.425,True,True,False
513,-0.175,-0.425,True,True,False
514,-0.16249999999999998,-0.425,True,True,False
515,-0.15000000000000002,-0.425,True,True,False
516,-0.1375,-0.425,True,True,False
517,-0.125,-0.425,True,True,False
518,-0.11249999999999999,-0.425,True,True,False
519,-0.09999999999999998,-0.425,True,True,False
520,-0.08750000000000002,-0.425,True,True,False
521,-0.07500000000000001,-0.425,True,True,False
522,-0.0625,-0.425,True,True,False
523,-0.04999999999999999,-0.425,True,True,False
524,-0.03749999999999998,-0.425,True,True,False
525,-0.025000000000000022,-0.425,True,True,False
526,-0.012500000000000011,-0.425,True,True,False
527,0.0,-0.425,True,True,False
528,0.012499999999999956,-0.425,True,True,False
529,0.025000000000000022,-0.425,True,True,False
530,0.03749999999999998,-0.425,True,True,False
531,0.050000000000000044,-0.425,True,True,False
532,0.0625,-0.425,True,True,False
533,0.07499999999999996,-0.425,True,True,False
534,0.08750000000000002,-0.425,True,True,False
535,0.09999999999999998,-0.425,True,True,False
536,0.11250000000000004,-0.425,True,True,False
537,0.125,-0.425,True,True,False
538,0.13749999999999996,-0.425,True,True,False
539,0.15000000000000002,-0.425,True,True,False
540,0.16249999999999998,-0.425,True,True,False
541,0.17500000000000004,-0.425,True,True,False
542,0.1875,-0.425,True,True,False
543,0.19999999999999996,-0.425,True,True,False
544,0.21250000000000002,-0.425,True,True,False
545,0.22499999999999998,-0.425,True,True,False
546,0.23750000000000004,-0.425,True,True,False
547,0.25,-0.425,True,True,False
548,0.26249999999999996,-0.425,True,True,False
549,0.275,-0.425,True,True,False
550,0.2875,-0.425,True,True,False
551,0.30000000000000004,-0.425,True,True,False
552,0.3125,-0.425,True,True,False
553,0.32499999999999996,-0.425,True,True,False
554,0.3375,-0.425,True,True,False
555,0.35,-0.425,True,True,False
556,0.36250000000000004,-0.425,True,True,False
557,0.375,-0.425,True,True,False
558,0.38749999999999996,-0.425,True,True,False
559,0.4,-0.425,True,True,False
560,0.4125,-0.425,True,True,False
561,0.42500000000000004,-0.425,True,True,False
562,0.4375,-0.425,True,True,False
563,0.44999999999999996,-0.425,True,True,False
564,0.4625,-0.425,True,True,False
565,0.475,-0.425,True,True,False
566,0.48750000000000004,-0.425,True,True,False
567,0.5,-0.425,True,True,False
568,-0.5,-0.4125,True,True,False
569,-0.4875,-0.4125,True,True,False
570,-0.475,-0.4125,True,True,False
571,-0.4625,-0.4125,True,True,False
572,-0.45,-0.4125,True,True,False
