step,time,control_rf1,forced_rf1,difference
UNLOAD_RELOAD,0.8849999904632568,0.0005335092032510147,0.0005305159852468933,-2.993218004121445e-06
UNLOAD_RELOAD,0.8999999761581421,0.0004588266328937607,0.0004605009805516147,1.674347657854014e-06
UNLOAD_RELOAD,0.9049999713897705,0.0004386737209074596,0.0004371626456531885,-1.5110752542710692e-06
UNLOAD_RELOAD,0.9200000166893005,0.0003782147447068951,0.000379646287055767,1.4315423488719015e-06
UNLOAD_RELOAD,0.925000011920929,0.00036218017892331034,0.0003604742437062214,-1.7059352170889497e-06
UNLOAD_RELOAD,0.9399999976158142,0.0003140764815725561,0.00031552196673345634,1.4454851609002617e-06
UNLOAD_RELOAD,0.9449999928474426,0.0003014024555341166,0.0003005378744092013,-8.645811249152757e-07
UNLOAD_RELOAD,0.9599999785423279,0.00026338037741879816,0.0002645310567004344,1.1506792816362577e-06
UNLOAD_RELOAD,0.9649999737739563,0.00025343441384708467,0.00025252878413084545,-9.056297162392149e-07
UNLOAD_RELOAD,0.9800000190734863,0.00022359640456670604,0.00022462404742389327,1.0276428571872308e-06
UNLOAD_RELOAD,0.9850000143051147,0.00021580209232752168,0.000215322505482618,-4.795868449036789e-07
UNLOAD_RELOAD,1.0,0.00019241915560996858,0.00018430813724990003,-8.111018360068556e-06
