node,x,y,d
384,0.23750000000000004,-0.45,0.011600409202533538
385,0.25,-0.45,0.011709469848717322
386,0.26249999999999996,-0.45,0.011836219357453607
387,0.275,-0.45,0.011944343666335521
388,0.2875,-0.45,0.012019038273433194
389,0.30000000000000004,-0.45,0.012123423360083952
390,0.3125,-0.45,0.012231843824773027
391,0.32499999999999996,-0.45,0.01229172448480253
392,0.3375,-0.45,0.012387281526976834
393,0.35,-0.45,0.01252962973224725
394,0.36250000000000004,-0.45,0.01257406226012233
395,0.375,-0.45,0.012674185671978516
396,0.38749999999999996,-0.45,0.012807147251458841
397,0.4,-0.45,0.012927198434061673
398,0.4125,-0.45,0.013063772497966454
399,0.42500000000000004,-0.45,0.013243201012057651
400,0.4375,-0.45,0.013424647914870247
401,0.44999999999999996,-0.45,0.013596379785655982
402,0.4625,-0.45,0.013815618918342168
403,0.475,-0.45,0.014011332034170161
404,0.48750000000000004,-0.45,0.014075374473245705
405,0.5,-0.45,0.014093026334002423
406,-0.5,-0.4375,0.00036919744370203186
407,-0.4875,-0.4375,0.00035774294927417834
408,-0.475,-0.4375,0.00034116215014105014
409,-0.4625,-0.4375,0.0003058695850761931
410,-0.45,-0.4375,0.0002533844594196548
411,-0.4375,-0.4375,0.00016857652036093583
412,-0.425,-0.4375,0.00012161603839317127
413,-0.4125,-0.4375,9.658074496887982e-05
414,-0.4,-0.4375,7.155327418690155e-05
415,-0.3875,-0.4375,4.2192941509377885e-05
416,-0.375,-0.4375,2.970912355807285e-05
417,-0.3625,-0.4375,2.6508922772281178e-05
418,-0.35,-0.4375,2.6303488224556807e-05
419,-0.3375,-0.4375,3.813243194245471e-05
420,-0.325,-0.4375,6.583535628400144e-05
421,-0.3125,-0.4375,9.025796585613783e-05
422,-0.3,-0.4375,0.00012828166718266033
423,-0.2875,-0.4375,0.0001908170397884266
424,-0.275,-0.4375,0.00024206892146249646
425,-0.2625,-0.4375,0.00031001153338839965
426,-0.25,-0.4375,0.0004130367338328754
427,-0.2375,-0.4375,0.0005269130088566147
428,-0.22499999999999998,-0.4375,0.0006256084558113657
429,-0.21250000000000002,-0.4375,0.0007719057565707605
430,-0.2,-0.4375,0.0009582701455490567
431,-0.1875,-0.4375,0.0010886784751238923
432,-0.175,-0.4375,0.0012981808526278454
433,-0.16249999999999998,-0.4375,0.0015342815126963233
