node,x,y,d_lower_bound
167,-0.45,-0.475,0.00019857595914122975
168,-0.4375,-0.475,0.00015381760990597912
169,-0.425,-0.475,0.00014359913401749093
170,-0.4125,-0.475,8.984254589478296e-05
171,-0.4,-0.475,4.817021111072887e-05
172,-0.3875,-0.475,4.1781021444936835e-05
173,-0.375,-0.475,3.1915654234194186e-05
174,-0.3625,-0.475,2.188430738186984e-05
175,-0.35,-0.475,2.0310504643173363e-05
176,-0.3375,-0.475,4.5210518019570404e-05
177,-0.325,-0.475,7.323480580797892e-05
178,-0.3125,-0.475,7.98928011020564e-05
179,-0.3,-0.475,0.00013393313613256337
180,-0.2875,-0.475,0.0002154928395177309
181,-0.275,-0.475,0.00023876874475492016
182,-0.2625,-0.475,0.00030823873190221403
183,-0.25,-0.475,0.0004626226092822026
184,-0.2375,-0.475,0.0005207810748417066
185,-0.22499999999999998,-0.475,0.0005899204250950703
186,-0.21250000000000002,-0.475,0.0008240561960972914
187,-0.2,-0.475,0.0009552999392285891
188,-0.1875,-0.475,0.0010179747713159085
189,-0.175,-0.475,0.00132102775677763
190,-0.16249999999999998,-0.475,0.0015750792161750172
191,-0.15000000000000002,-0.475,0.0016378142131400083
192,-0.1375,-0.475,0.001963563216016923
193,-0.125,-0.475,0.002377873140337545
194,-0.11249999999999999,-0.475,0.0024667252186440724
195,-0.09999999999999998,-0.475,0.002758662500539718
196,-0.08750000000000002,-0.475,0.0033181556062204173
197,-0.07500000000000001,-0.475,0.0034825190210502855
198,-0.0625,-0.475,0.0037250471627894525
199,-0.04999999999999999,-0.475,0.0043770008566462225
200,-0.03749999999999998,-0.475,0.004654341205732932
201,-0.025000000000000022,-0.475,0.0048540728791737625
202,-0.012500000000000011,-0.475,0.0055157503815070254
203,0.0,-0.475,0.005931421759707695
204,0.012499999999999956,-0.475,0.0059522806664635925
205,0.025000000000000022,-0.475,0.006680974619819067
206,0.03749999999999998,-0.475,0.007202936594469878
207,0.050000000000000044,-0.475,0.007212941379463798
208,0.0625,-0.475,0.007818532933941559
209,0.07499999999999996,-0.475,0.008403886626868414
210,0.08750000000000002,-0.475,0.00840418718099616
211,0.09999999999999998,-0.475,0.008863406893587134
212,0.11250000000000004,-0.475,0.00947233123458931
213,0.125,-0.475,0.009467075715117762
214,0.13749999999999996,-0.475,0.009767007474550686
215,0.15000000000000002,-0.475,0.010200108865795428
216,0.16249999999999998,-0.475,0.010348323906736297
217,0.17500000000000004,-0.475,0.01052499193564624
218,0.1875,-0.475,0.010875665409653906
219,0.19999999999999996,-0.475,0.011037966767034365
220,0.21250000000000002,-0.475,0.011136683267774412
221,0.22499999999999998,-0.475,0.011393622918268639
222,0.23750000000000004,-0.475,0.011549874382704946
223,0.25,-0.475,0.011553092944370538
224,0.26249999999999996,-0.475,0.011784253945551267
225,0.275,-0.475,0.011928958731092362
226,0.2875,-0.475,0.011929313250608677
227,0.30000000000000004,-0.475,0.01208869801534868
228,0.3125,-0.475,0.012237737721406258
229,0.32499999999999996,-0.475,0.012237903314374382
230,0.3375,-0.475,0.012355392228253954
231,0.35,-0.475,0.012505847084659606
232,0.36250000000000004,-0.475,0.012544804060879702
233,0.375,-0.475,0.01264342404780999
234,0.38749999999999996,-0.475,0.012846721123738705
235,0.4,-0.475,0.012929515330517024
236,0.4125,-0.475,0.013023748354239285
237,0.42500000000000004,-0.475,0.013308967261498045
238,0.4375,-0.475,0.013481005768723433
239,0.44999999999999996,-0.475,0.01355563065087053
240,0.4625,-0.475,0.013856748256771393
241,0.475,-0.475,0.014108303602910184
242,0.48750000000000004,-0.475,0.014105943291843379
243,0.5,-0.475,0.014085706507864906
244,-0.5,-0.4625,0.00033243094986190103
245,-0.4875,-0.4625,0.00033240158734008246
246,-0.475,-0.4625,0.00033238755024108345
247,-0.4625,-0.4625,0.00028078911334106406
248,-0.45,-0.4625,0.00021009731971499395
249,-0.4375,-0.4625,0.0001457314197645156
250,-0.425,-0.4625,0.00014061999568012906
251,-0.4125,-0.4625,9.704022386124139e-05
252,-0.4,-0.4625,3.9320606754970434e-05
253,-0.3875,-0.4625,3.763580698654627e-05
254,-0.375,-0.4625,3.562141667008765e-05
255,-0.3625,-0.4625,2.1475071333060935e-05
256,-0.35,-0.4625,2.1877317246046362e-05
257,-0.3375,-0.4625,2.2200347607575693e-05
258,-0.325,-0.4625,8.290656256448356e-05
259,-0.3125,-0.4625,8.352923426340169e-05
260,-0.3,-0.4625,8.419441576993382e-05
261,-0.2875,-0.4625,0.00024062953599264398
262,-0.275,-0.4625,0.00024074666527507365
263,-0.2625,-0.4625,0.00024122507659213018
264,-0.25,-0.4625,0.00043178051307637125
265,-0.2375,-0.4625,0.0005280567857546324
266,-0.22499999999999998,-0.4625,0.0005293753243871765
267,-0.21250000000000002,-0.4625,0.0007957518439689834
268,-0.2,-0.4625,0.0009753518612232077
269,-0.1875,-0.4625,0.0009785471633304897
270,-0.175,-0.4625,0.0013080917646668719
271,-0.16249999999999998,-0.4625,0.0016187947829847023
272,-0.15000000000000002,-0.4625,0.00162132955187725
273,-0.1375,-0.4625,0.001993597487997432
274,-0.125,-0.4625,0.002276879232831573
275,-0.11249999999999999,-0.4625,0.002478088176846808
276,-0.09999999999999998,-0.4625,0.0028279237013259092
277,-0.08750000000000002,-0.4625,0.003199071495242795
278,-0.07500000000000001,-0.4625,0.0035232144272800657
279,-0.0625,-0.4625,0.003551008041400426
280,-0.04999999999999999,-0.4625,0.004242009877673286
281,-0.03749999999999998,-0.4625,0.004745971413387819
282,-0.025000000000000022,-0.4625,0.004780736172893113
283,-0.012500000000000011,-0.4625,0.005474391475811168
284,0.0,-0.4625,0.006041861507314198
285,0.012499999999999956,-0.4625,0.006069754952704029
286,0.025000000000000022,-0.4625,0.006697678160901348
287,0.03749999999999998,-0.4625,0.007300322188427463
288,0.050000000000000044,-0.4625,0.007317643907821242
289,0.0625,-0.4625,0.007838026968762329
290,0.07499999999999996,-0.4625,0.008469790653323305
291,0.08750000000000002,-0.4625,0.008478389956642983
292,0.09999999999999998,-0.4625,0.008469266296681384
293,0.11250000000000004,-0.4625,0.00952205264887905
294,0.125,-0.4625,0.009527332960347181
295,0.13749999999999996,-0.4625,0.009524163165053886
296,0.15000000000000002,-0.4625,0.010404052772475606
297,0.16249999999999998,-0.4625,0.010409491424097632
298,0.17500000000000004,-0.4625,0.010408461795734819
299,0.1875,-0.4625,0.01107966047356387
300,0.19999999999999996,-0.4625,0.011085567799691123
301,0.21250000000000002,-0.4625,0.011082607022836179
302,0.22499999999999998,-0.4625,0.011570799056570727
303,0.23750000000000004,-0.4625,0.011573482736893882
304,0.25,-0.4625,0.011571344294459437
305,0.26249999999999996,-0.4625,0.011935004747420729
306,0.275,-0.4625,0.011935402969368517
307,0.2875,-0.4625,0.01193483084636585
308,0.30000000000000004,-0.4625,0.012088482419266185
309,0.3125,-0.4625,0.012234956814989807
310,0.32499999999999996,-0.4625,0.012235103217229643
311,0.3375,-0.4625,0.012235033931875371
312,0.35,-0.4625,0.01253745052141999
313,0.36250000000000004,-0.4625,0.012537652635079045
314,0.375,-0.4625,0.01253686849410987
315,0.38749999999999996,-0.4625,0.012913609919062813
316,0.4,-0.4625,0.012913319289587166
317,0.4125,-0.4625,0.01291182550314278
318,0.42500000000000004,-0.4625,0.013448548426461475
319,0.4375,-0.4625,0.013448077226005448
320,0.44999999999999996,-0.4625,0.013445871288705356
321,0.4625,-0.4625,0.014054618225411878
322,0.475,-0.4625,0.014055793431558801
323,0.48750000000000004,-0.4625,0.014054339636790899
324,0.5,-0.4625,0.014052260891477803
325,-0.5,-0.45,0.00033250060404006396
